rank,name,score,ts
1,삼성전자,12.83,2026-06-21 10:35:42
2,SK하이닉스,11.58,2026-06-21 10:35:42
3,현대차,3.61,2026-06-21 10:35:42
4,LG전자,3.59,2026-06-21 10:35:42
5,삼성전기,3.24,2026-06-21 10:35:42
6,NAVER,2.50,2026-06-21 10:35:42
7,한화오션,2.29,2026-06-21 10:35:42
8,두산에너빌리티,2.01,2026-06-21 10:35:42
9,SK스퀘어,1.85,2026-06-21 10:35:42
10,삼성SDI,1.83,2026-06-21 10:35:42
11,한미반도체,1.66,2026-06-21 10:35:42
12,LG이노텍,1.52,2026-06-21 10:35:42
13,LG씨엔에스,1.50,2026-06-21 10:35:42
14,에코프로,1.40,2026-06-21 10:35:42
15,LS ELECTRIC,1.37,2026-06-21 10:35:42
16,주성엔지니어링,1.19,2026-06-21 10:35:42
17,제주반도체,1.07,2026-06-21 10:35:42
18,에코프로비엠,1.07,2026-06-21 10:35:42
19,대우건설,1.06,2026-06-21 10:35:42
20,삼성물산,1.04,2026-06-21 10:35:42
21,삼성중공업,1.03,2026-06-21 10:35:42
22,디앤디파마텍,0.95,2026-06-21 10:35:42
23,HPSP,0.91,2026-06-21 10:35:42
24,현대모비스,0.88,2026-06-21 10:35:42
25,삼성E&A,0.88,2026-06-21 10:35:42
26,POSCO홀딩스,0.86,2026-06-21 10:35:42
27,미래에셋증권,0.84,2026-06-21 10:35:42
28,대한광통신,0.83,2026-06-21 10:35:42
29,HLB,0.78,2026-06-21 10:35:42
30,삼성전자우,0.74,2026-06-21 10:35:42
