rank,name,score,ts
1,삼성전자,13.59,2026-02-19 18:45:01
2,한화솔루션,5.18,2026-02-19 18:45:01
3,SK하이닉스,4.32,2026-02-19 18:45:01
4,삼성SDI,3.80,2026-02-19 18:45:01
5,에코프로,3.77,2026-02-19 18:45:01
6,현대차,3.29,2026-02-19 18:45:01
7,두산에너빌리티,3.04,2026-02-19 18:45:01
8,미래에셋증권,2.88,2026-02-19 18:45:01
9,한화시스템,2.78,2026-02-19 18:45:01
10,POSCO홀딩스,2.29,2026-02-19 18:45:01
11,한화오션,2.07,2026-02-19 18:45:01
12,NAVER,1.72,2026-02-19 18:45:01
13,알테오젠,1.40,2026-02-19 18:45:01
14,삼천당제약,1.32,2026-02-19 18:45:01
15,셀트리온,1.28,2026-02-19 18:45:01
16,삼성전기,1.27,2026-02-19 18:45:01
17,한온시스템,1.23,2026-02-19 18:45:01
18,에코프로비엠,1.20,2026-02-19 18:45:01
19,LG전자,1.09,2026-02-19 18:45:01
20,삼성중공업,1.08,2026-02-19 18:45:01
21,한미반도체,1.01,2026-02-19 18:45:01
22,스피어,0.99,2026-02-19 18:45:01
23,HMM,0.96,2026-02-19 18:45:01
24,NH투자증권,0.95,2026-02-19 18:45:01
25,카카오,0.94,2026-02-19 18:45:01
26,SK텔레콤,0.88,2026-02-19 18:45:01
27,SK증권,0.86,2026-02-19 18:45:01
28,우리기술,0.82,2026-02-19 18:45:01
29,삼성전자우,0.82,2026-02-19 18:45:01
30,휴림로봇,0.80,2026-02-19 18:45:01
