rank,name,score,ts
1,삼성전자,9.27,2025-12-27 15:42:37
2,SK하이닉스,5.43,2025-12-27 15:42:37
3,LG에너지솔루션,3.16,2025-12-27 15:42:37
4,한화오션,2.93,2025-12-27 15:42:37
5,두산에너빌리티,2.81,2025-12-27 15:42:37
6,에이비엘바이오,2.79,2025-12-27 15:42:37
7,현대무벡스,2.07,2025-12-27 15:42:37
8,원익홀딩스,1.97,2025-12-27 15:42:37
9,에코프로,1.88,2025-12-27 15:42:37
10,알테오젠,1.78,2025-12-27 15:42:37
11,한미반도체,1.70,2025-12-27 15:42:37
12,NAVER,1.66,2025-12-27 15:42:37
13,현대차,1.62,2025-12-27 15:42:37
14,삼성에피스홀딩스,1.61,2025-12-27 15:42:37
15,삼성SDI,1.42,2025-12-27 15:42:37
16,에코프로비엠,1.40,2025-12-27 15:42:37
17,재영솔루텍,1.33,2025-12-27 15:42:37
18,휴림로봇,1.24,2025-12-27 15:42:37
19,계양전기,1.22,2025-12-27 15:42:37
20,에스피지,1.18,2025-12-27 15:42:37
21,미래에셋증권우,1.16,2025-12-27 15:42:37
22,클로봇,1.11,2025-12-27 15:42:37
23,디앤디파마텍,1.06,2025-12-27 15:42:37
24,로킷헬스케어,0.97,2025-12-27 15:42:37
25,스맥,0.97,2025-12-27 15:42:37
26,남선알미늄,0.94,2025-12-27 15:42:37
27,한국전력,0.92,2025-12-27 15:42:37
28,일동제약,0.92,2025-12-27 15:42:37
29,펩트론,0.90,2025-12-27 15:42:37
30,POSCO홀딩스,0.86,2025-12-27 15:42:37
