rank,name,score,ts
1,현대차,9.94,2026-01-22 15:43:57
2,삼성전자,9.38,2026-01-22 15:43:57
3,삼성SDI,6.91,2026-01-22 15:43:57
4,알테오젠,3.55,2026-01-22 15:43:57
5,SK하이닉스,3.11,2026-01-22 15:43:57
6,두산에너빌리티,2.59,2026-01-22 15:43:57
7,우리기술,2.06,2026-01-22 15:43:57
8,삼천당제약,1.95,2026-01-22 15:43:57
9,에코프로,1.95,2026-01-22 15:43:57
10,뉴로메카,1.74,2026-01-22 15:43:57
11,펩트론,1.62,2026-01-22 15:43:57
12,한화오션,1.45,2026-01-22 15:43:57
13,POSCO홀딩스,1.35,2026-01-22 15:43:57
14,모베이스전자,1.31,2026-01-22 15:43:57
15,NAVER,1.31,2026-01-22 15:43:57
16,휴림로봇,1.20,2026-01-22 15:43:57
17,대한전선,1.13,2026-01-22 15:43:57
18,한국전력,1.12,2026-01-22 15:43:57
19,삼성전자우,1.10,2026-01-22 15:43:57
20,기아,1.10,2026-01-22 15:43:57
21,씨아이에스,1.03,2026-01-22 15:43:57
22,로보로보,1.00,2026-01-22 15:43:57
23,HLB,0.99,2026-01-22 15:43:57
24,삼성중공업,0.98,2026-01-22 15:43:57
25,LG에너지솔루션,0.97,2026-01-22 15:43:57
26,에코프로비엠,0.96,2026-01-22 15:43:57
27,유진로봇,0.89,2026-01-22 15:43:57
28,현대모비스,0.86,2026-01-22 15:43:57
29,이수스페셜티케미컬,0.86,2026-01-22 15:43:57
30,한미반도체,0.85,2026-01-22 15:43:57
