rank,name,score,ts
1,삼성전자,11.02,2025-12-30 12:52:23
2,SK하이닉스,7.83,2025-12-30 12:52:23
3,HLB,3.33,2025-12-30 12:52:23
4,제주반도체,3.30,2025-12-30 12:52:23
5,에코프로,2.54,2025-12-30 12:52:23
6,휴림로봇,2.49,2025-12-30 12:52:23
7,엘앤에프,2.04,2025-12-30 12:52:23
8,두산에너빌리티,1.97,2025-12-30 12:52:23
9,노타,1.88,2025-12-30 12:52:23
10,원익홀딩스,1.86,2025-12-30 12:52:23
11,삼성에피스홀딩스,1.64,2025-12-30 12:52:23
12,한화오션,1.61,2025-12-30 12:52:23
13,현대무벡스,1.59,2025-12-30 12:52:23
14,NAVER,1.58,2025-12-30 12:52:23
15,삼성SDI,1.42,2025-12-30 12:52:23
16,한미반도체,1.39,2025-12-30 12:52:23
17,에코프로비엠,1.31,2025-12-30 12:52:23
18,현대차,1.24,2025-12-30 12:52:23
19,LG에너지솔루션,1.17,2025-12-30 12:52:23
20,에이비엘바이오,1.13,2025-12-30 12:52:23
21,세미파이브,1.11,2025-12-30 12:52:23
22,알테오젠,1.09,2025-12-30 12:52:23
23,에스피지,1.02,2025-12-30 12:52:23
24,카카오,1.01,2025-12-30 12:52:23
25,한화에어로스페이스,0.95,2025-12-30 12:52:23
26,삼성전자우,0.95,2025-12-30 12:52:23
27,셀루메드,0.94,2025-12-30 12:52:23
28,현대로템,0.90,2025-12-30 12:52:23
29,엘케이켐,0.85,2025-12-30 12:52:23
30,POSCO홀딩스,0.83,2025-12-30 12:52:23
