rank,name,score,ts
1,삼성전자,23.45,2026-03-27 15:50:38
2,SK하이닉스,9.57,2026-03-27 15:50:38
3,현대차,3.44,2026-03-27 15:50:38
4,펄어비스,2.50,2026-03-27 15:50:38
5,두산에너빌리티,2.42,2026-03-27 15:50:38
6,대우건설,2.34,2026-03-27 15:50:38
7,한화솔루션,2.28,2026-03-27 15:50:38
8,우리기술,2.07,2026-03-27 15:50:38
9,삼성SDI,1.72,2026-03-27 15:50:38
10,에코프로,1.51,2026-03-27 15:50:38
11,삼성전자우,1.39,2026-03-27 15:50:38
12,삼천당제약,1.36,2026-03-27 15:50:38
13,엘앤에프,1.35,2026-03-27 15:50:38
14,미래에셋증권,1.23,2026-03-27 15:50:38
15,한미반도체,1.21,2026-03-27 15:50:38
16,미래에셋벤처투자,1.07,2026-03-27 15:50:38
17,알테오젠,0.94,2026-03-27 15:50:38
18,우리로,0.86,2026-03-27 15:50:38
19,HLB,0.86,2026-03-27 15:50:38
20,한화시스템,0.86,2026-03-27 15:50:38
21,NAVER,0.85,2026-03-27 15:50:38
22,한화오션,0.83,2026-03-27 15:50:38
23,삼성중공업,0.82,2026-03-27 15:50:38
24,대한광통신,0.81,2026-03-27 15:50:38
25,엔에이치스팩33호,0.81,2026-03-27 15:50:38
26,삼성전기,0.80,2026-03-27 15:50:38
27,호텔신라,0.76,2026-03-27 15:50:38
28,한국전력,0.74,2026-03-27 15:50:38
29,스피어,0.73,2026-03-27 15:50:38
30,POSCO홀딩스,0.72,2026-03-27 15:50:38
