rank,name,score,ts
1,삼성전자,13.15,2026-04-30 16:18:24
2,SK하이닉스,6.66,2026-04-30 16:18:24
3,현대차,3.08,2026-04-30 16:18:24
4,대한전선,2.94,2026-04-30 16:18:24
5,산일전기,2.63,2026-04-30 16:18:24
6,삼성SDI,2.53,2026-04-30 16:18:24
7,대원전선,2.45,2026-04-30 16:18:24
8,삼성중공업,2.29,2026-04-30 16:18:24
9,대우건설,2.18,2026-04-30 16:18:24
10,POSCO홀딩스,2.15,2026-04-30 16:18:24
11,두산에너빌리티,1.95,2026-04-30 16:18:24
12,한미반도체,1.91,2026-04-30 16:18:24
13,NAVER,1.85,2026-04-30 16:18:24
14,삼성전기,1.54,2026-04-30 16:18:24
15,LG전자,1.46,2026-04-30 16:18:24
16,LS ELECTRIC,1.40,2026-04-30 16:18:24
17,에코프로,1.39,2026-04-30 16:18:24
18,엘앤에프,1.34,2026-04-30 16:18:24
19,삼성전자우,1.22,2026-04-30 16:18:24
20,두산로보틱스,1.22,2026-04-30 16:18:24
21,한화솔루션,1.20,2026-04-30 16:18:24
22,남해화학,1.14,2026-04-30 16:18:24
23,서울반도체,1.13,2026-04-30 16:18:24
24,삼천당제약,1.02,2026-04-30 16:18:24
25,대한광통신,0.99,2026-04-30 16:18:24
26,GS건설,0.92,2026-04-30 16:18:24
27,크래프톤,0.91,2026-04-30 16:18:24
28,쏘카,0.87,2026-04-30 16:18:24
29,SK스퀘어,0.86,2026-04-30 16:18:24
30,에이비엘바이오,0.84,2026-04-30 16:18:24
