rank,name,score,ts
1,삼성전자,13.46,2026-02-09 19:33:01
2,SK하이닉스,6.97,2026-02-09 19:33:01
3,한화솔루션,3.55,2026-02-09 19:33:01
4,두산에너빌리티,3.53,2026-02-09 19:33:01
5,현대차,3.29,2026-02-09 19:33:01
6,에코프로,2.47,2026-02-09 19:33:01
7,NAVER,2.07,2026-02-09 19:33:01
8,미래에셋증권,1.93,2026-02-09 19:33:01
9,유진로봇,1.86,2026-02-09 19:33:01
10,삼표시멘트,1.68,2026-02-09 19:33:01
11,셀트리온,1.58,2026-02-09 19:33:01
12,대우건설,1.58,2026-02-09 19:33:01
13,삼성SDI,1.34,2026-02-09 19:33:01
14,알테오젠,1.31,2026-02-09 19:33:01
15,한화오션,1.29,2026-02-09 19:33:01
16,제룡전기,1.28,2026-02-09 19:33:01
17,한미반도체,1.22,2026-02-09 19:33:01
18,제주반도체,1.20,2026-02-09 19:33:01
19,아모레퍼시픽,1.19,2026-02-09 19:33:01
20,에코프로비엠,1.11,2026-02-09 19:33:01
21,한화에어로스페이스,1.10,2026-02-09 19:33:01
22,삼성중공업,1.08,2026-02-09 19:33:01
23,POSCO홀딩스,1.03,2026-02-09 19:33:01
24,한화시스템,1.01,2026-02-09 19:33:01
25,대한전선,0.98,2026-02-09 19:33:01
26,카카오,0.98,2026-02-09 19:33:01
27,에이비엘바이오,0.96,2026-02-09 19:33:01
28,휴림로봇,0.91,2026-02-09 19:33:01
29,엔씨소프트,0.89,2026-02-09 19:33:01
30,비엘팜텍,0.86,2026-02-09 19:33:01
