rank,name,score,ts
1,삼성전자,12.27,2026-03-22 18:42:40
2,펄어비스,5.21,2026-03-22 18:42:40
3,SK하이닉스,4.97,2026-03-22 18:42:40
4,두산에너빌리티,3.19,2026-03-22 18:42:40
5,대우건설,2.92,2026-03-22 18:42:40
6,현대차,2.53,2026-03-22 18:42:40
7,우리기술,2.26,2026-03-22 18:42:40
8,하이브,2.23,2026-03-22 18:42:40
9,SK이터닉스,2.05,2026-03-22 18:42:40
10,한화솔루션,1.77,2026-03-22 18:42:40
11,한화시스템,1.65,2026-03-22 18:42:40
12,삼천당제약,1.61,2026-03-22 18:42:40
13,에코프로,1.60,2026-03-22 18:42:40
14,SK오션플랜트,1.52,2026-03-22 18:42:40
15,NAVER,1.34,2026-03-22 18:42:40
16,GS건설,1.34,2026-03-22 18:42:40
17,LIG넥스원,1.31,2026-03-22 18:42:40
18,흥구석유,1.27,2026-03-22 18:42:40
19,SK증권,1.27,2026-03-22 18:42:40
20,한미반도체,1.13,2026-03-22 18:42:40
21,DL이앤씨,1.12,2026-03-22 18:42:40
22,삼성E&A,1.09,2026-03-22 18:42:40
23,삼성SDI,1.04,2026-03-22 18:42:40
24,한화오션,0.96,2026-03-22 18:42:40
25,삼성중공업,0.92,2026-03-22 18:42:40
26,현대건설,0.91,2026-03-22 18:42:40
27,흥아해운,0.90,2026-03-22 18:42:40
28,오르비텍,0.90,2026-03-22 18:42:40
29,에코프로비엠,0.88,2026-03-22 18:42:40
30,대한광통신,0.86,2026-03-22 18:42:40
