rank,name,score,ts
1,SK하이닉스,13.48,2026-09-10 13:58:10
2,삼성전자,13.05,2026-09-10 13:58:10
3,주성엔지니어링,6.95,2026-09-10 13:58:10
4,한미반도체,3.66,2026-09-10 13:58:10
5,두산에너빌리티,2.59,2026-09-10 13:58:10
6,삼성전기,2.40,2026-09-10 13:58:10
7,HPSP,1.85,2026-09-10 13:58:10
8,현대차,1.68,2026-09-10 13:58:10
9,삼성전자우,1.59,2026-09-10 13:58:10
10,SK이노베이션,1.54,2026-09-10 13:58:10
11,제주반도체,1.47,2026-09-10 13:58:10
12,삼성SDI,1.44,2026-09-10 13:58:10
13,LG전자,1.32,2026-09-10 13:58:10
14,NAVER,1.23,2026-09-10 13:58:10
15,흥구석유,1.20,2026-09-10 13:58:10
16,알테오젠,1.15,2026-09-10 13:58:10
17,로보티즈,1.14,2026-09-10 13:58:10
18,우리기술,1.11,2026-09-10 13:58:10
19,대한광통신,1.03,2026-09-10 13:58:10
20,한화오션,1.00,2026-09-10 13:58:10
21,원익IPS,0.98,2026-09-10 13:58:10
22,SK스퀘어,0.92,2026-09-10 13:58:10
23,심텍,0.90,2026-09-10 13:58:10
24,대우건설,0.85,2026-09-10 13:58:10
25,엔에이치스팩34호,0.83,2026-09-10 13:58:10
26,DB하이텍,0.79,2026-09-10 13:58:10
27,HLB,0.78,2026-09-10 13:58:10
28,에코프로,0.76,2026-09-10 13:58:10
29,POSCO홀딩스,0.73,2026-09-10 13:58:10
30,리노공업,0.71,2026-09-10 13:58:10
