rank,name,score,ts
1,삼성전자,8.50,2025-12-27 18:35:07
2,SK하이닉스,5.49,2025-12-27 18:35:07
3,한화오션,3.32,2025-12-27 18:35:07
4,두산에너빌리티,3.00,2025-12-27 18:35:07
5,LG에너지솔루션,2.60,2025-12-27 18:35:07
6,에이비엘바이오,2.31,2025-12-27 18:35:07
7,에코프로,2.26,2025-12-27 18:35:07
8,원익홀딩스,2.08,2025-12-27 18:35:07
9,현대무벡스,1.95,2025-12-27 18:35:07
10,알테오젠,1.89,2025-12-27 18:35:07
11,삼성에피스홀딩스,1.71,2025-12-27 18:35:07
12,계양전기,1.71,2025-12-27 18:35:07
13,현대차,1.67,2025-12-27 18:35:07
14,한미반도체,1.51,2025-12-27 18:35:07
15,휴림로봇,1.49,2025-12-27 18:35:07
16,NAVER,1.47,2025-12-27 18:35:07
17,에코프로비엠,1.37,2025-12-27 18:35:07
18,스맥,1.27,2025-12-27 18:35:07
19,재영솔루텍,1.19,2025-12-27 18:35:07
20,에스피지,1.17,2025-12-27 18:35:07
21,삼성SDI,1.15,2025-12-27 18:35:07
22,클로봇,1.13,2025-12-27 18:35:07
23,미래에셋증권우,1.12,2025-12-27 18:35:07
24,디앤디파마텍,1.07,2025-12-27 18:35:07
25,신성델타테크,1.06,2025-12-27 18:35:07
26,온코닉테라퓨틱스,1.00,2025-12-27 18:35:07
27,남선알미늄,0.98,2025-12-27 18:35:07
28,노타,0.95,2025-12-27 18:35:07
29,POSCO홀딩스,0.93,2025-12-27 18:35:07
30,펩트론,0.92,2025-12-27 18:35:07
