rank,name,score,ts
1,삼성전자,16.34,2026-03-31 15:53:41
2,삼천당제약,10.23,2026-03-31 15:53:41
3,SK하이닉스,8.14,2026-03-31 15:53:41
4,두산에너빌리티,2.51,2026-03-31 15:53:41
5,현대차,2.50,2026-03-31 15:53:41
6,한화솔루션,2.35,2026-03-31 15:53:41
7,펄어비스,2.31,2026-03-31 15:53:41
8,삼성SDI,2.16,2026-03-31 15:53:41
9,삼성E&A,1.69,2026-03-31 15:53:41
10,한화오션,1.59,2026-03-31 15:53:41
11,우리기술,1.58,2026-03-31 15:53:41
12,휴림로봇,1.44,2026-03-31 15:53:41
13,한미반도체,1.38,2026-03-31 15:53:41
14,알테오젠,1.37,2026-03-31 15:53:41
15,SK이터닉스,1.32,2026-03-31 15:53:41
16,대우건설,1.29,2026-03-31 15:53:41
17,리센스메디컬,1.24,2026-03-31 15:53:41
18,에코프로,1.20,2026-03-31 15:53:41
19,NAVER,1.07,2026-03-31 15:53:41
20,애경케미칼,1.03,2026-03-31 15:53:41
21,삼성전자우,0.99,2026-03-31 15:53:41
22,페니트리움바이오,0.92,2026-03-31 15:53:41
23,삼아알미늄,0.90,2026-03-31 15:53:41
24,LIG넥스원,0.87,2026-03-31 15:53:41
25,대한광통신,0.86,2026-03-31 15:53:41
26,삼성중공업,0.85,2026-03-31 15:53:41
27,미래에셋증권,0.82,2026-03-31 15:53:41
28,LG화학,0.81,2026-03-31 15:53:41
29,한국전력,0.75,2026-03-31 15:53:41
30,남선알미늄,0.74,2026-03-31 15:53:41
