rank,name,score,ts
1,삼성전자,21.27,2026-08-23 11:07:08
2,SK하이닉스,12.88,2026-08-23 11:07:08
3,삼성전기,2.97,2026-08-23 11:07:08
4,두산에너빌리티,2.25,2026-08-23 11:07:08
5,NAVER,2.22,2026-08-23 11:07:08
6,현대차,2.20,2026-08-23 11:07:08
7,카카오,2.03,2026-08-23 11:07:08
8,삼성전자우,1.88,2026-08-23 11:07:08
9,LG전자,1.75,2026-08-23 11:07:08
10,삼성SDI,1.71,2026-08-23 11:07:08
11,알테오젠,1.63,2026-08-23 11:07:08
12,SK텔레콤,1.22,2026-08-23 11:07:08
13,한화오션,1.14,2026-08-23 11:07:08
14,코오롱티슈진,1.09,2026-08-23 11:07:08
15,금호건설,1.05,2026-08-23 11:07:08
16,HLB,0.97,2026-08-23 11:07:08
17,에코프로,0.95,2026-08-23 11:07:08
18,POSCO홀딩스,0.95,2026-08-23 11:07:08
19,LS ELECTRIC,0.84,2026-08-23 11:07:08
20,SK스퀘어,0.83,2026-08-23 11:07:08
21,네이처셀,0.83,2026-08-23 11:07:08
22,아난티,0.79,2026-08-23 11:07:08
23,삼성중공업,0.77,2026-08-23 11:07:08
24,LG이노텍,0.75,2026-08-23 11:07:08
25,셀트리온,0.73,2026-08-23 11:07:08
26,한미반도체,0.73,2026-08-23 11:07:08
27,대한광통신,0.73,2026-08-23 11:07:08
28,주성엔지니어링,0.70,2026-08-23 11:07:08
29,한국전력,0.68,2026-08-23 11:07:08
30,한화에어로스페이스,0.68,2026-08-23 11:07:08
