rank,name,score,ts
1,SK하이닉스,24.93,2026-07-17 20:01:44
2,삼성전자,18.88,2026-07-17 20:01:44
3,현대차,2.98,2026-07-17 20:01:44
4,한화오션,2.85,2026-07-17 20:01:44
5,삼성전기,2.25,2026-07-17 20:01:44
6,LG전자,1.67,2026-07-17 20:01:44
7,알테오젠,1.64,2026-07-17 20:01:44
8,HLB,1.64,2026-07-17 20:01:44
9,두산에너빌리티,1.63,2026-07-17 20:01:44
10,NAVER,1.47,2026-07-17 20:01:44
11,에코프로,1.41,2026-07-17 20:01:44
12,한미반도체,1.30,2026-07-17 20:01:44
13,코오롱티슈진,1.27,2026-07-17 20:01:44
14,SK스퀘어,1.08,2026-07-17 20:01:44
15,에코프로비엠,1.03,2026-07-17 20:01:44
16,삼성SDI,0.93,2026-07-17 20:01:44
17,KODEX SK하이닉스단일종목레버리지,0.91,2026-07-17 20:01:44
18,삼성중공업,0.90,2026-07-17 20:01:44
19,KODEX 200선물인버스2X,0.77,2026-07-17 20:01:44
20,네이처셀,0.77,2026-07-17 20:01:44
21,POSCO홀딩스,0.68,2026-07-17 20:01:44
22,LS ELECTRIC,0.64,2026-07-17 20:01:44
23,한화솔루션,0.64,2026-07-17 20:01:44
24,SK이노베이션,0.63,2026-07-17 20:01:44
25,삼성전자우,0.62,2026-07-17 20:01:44
26,주성엔지니어링,0.61,2026-07-17 20:01:44
27,카카오,0.60,2026-07-17 20:01:44
28,SOL SK하이닉스선물단일종목인버스2X,0.60,2026-07-17 20:01:44
29,LG이노텍,0.57,2026-07-17 20:01:44
30,SK이터닉스,0.54,2026-07-17 20:01:44
