rank,name,score,ts
1,삼성전자,12.21,2026-02-11 16:33:52
2,LG전자,10.63,2026-02-11 16:33:52
3,현대차,7.23,2026-02-11 16:33:52
4,SK하이닉스,5.32,2026-02-11 16:33:52
5,두산에너빌리티,3.28,2026-02-11 16:33:52
6,우리기술,2.85,2026-02-11 16:33:52
7,한화솔루션,2.72,2026-02-11 16:33:52
8,셀트리온,2.03,2026-02-11 16:33:52
9,NAVER,1.80,2026-02-11 16:33:52
10,에코프로,1.76,2026-02-11 16:33:52
11,이마트,1.37,2026-02-11 16:33:52
12,삼표시멘트,1.17,2026-02-11 16:33:52
13,삼성SDI,1.10,2026-02-11 16:33:52
14,LG씨엔에스,1.07,2026-02-11 16:33:52
15,한화오션,1.05,2026-02-11 16:33:52
16,휴림로봇,1.05,2026-02-11 16:33:52
17,알테오젠,0.97,2026-02-11 16:33:52
18,유진로봇,0.96,2026-02-11 16:33:52
19,한온시스템,0.95,2026-02-11 16:33:52
20,아크릴,0.95,2026-02-11 16:33:52
21,POSCO홀딩스,0.94,2026-02-11 16:33:52
22,미래에셋증권,0.85,2026-02-11 16:33:52
23,삼성전자우,0.83,2026-02-11 16:33:52
24,대우건설,0.82,2026-02-11 16:33:52
25,기아,0.81,2026-02-11 16:33:52
26,삼성중공업,0.80,2026-02-11 16:33:52
27,카카오,0.78,2026-02-11 16:33:52
28,한미반도체,0.77,2026-02-11 16:33:52
29,보성파워텍,0.75,2026-02-11 16:33:52
30,한화에어로스페이스,0.73,2026-02-11 16:33:52
