rank,name,score,ts
1,삼성전자,16.85,2026-02-27 18:44:37
2,현대차,8.74,2026-02-27 18:44:37
3,SK하이닉스,6.64,2026-02-27 18:44:37
4,한미반도체,4.44,2026-02-27 18:44:37
5,두산에너빌리티,2.91,2026-02-27 18:44:37
6,현대제철,2.57,2026-02-27 18:44:37
7,삼성SDI,2.29,2026-02-27 18:44:37
8,한화솔루션,1.73,2026-02-27 18:44:37
9,에코프로,1.67,2026-02-27 18:44:37
10,NAVER,1.63,2026-02-27 18:44:37
11,POSCO홀딩스,1.63,2026-02-27 18:44:37
12,카카오,1.53,2026-02-27 18:44:37
13,삼천당제약,1.50,2026-02-27 18:44:37
14,한국전력,1.49,2026-02-27 18:44:37
15,미래에셋증권,1.29,2026-02-27 18:44:37
16,LG전자,1.15,2026-02-27 18:44:37
17,한화시스템,1.04,2026-02-27 18:44:37
18,기아,1.02,2026-02-27 18:44:37
19,한화오션,0.99,2026-02-27 18:44:37
20,현대위아,0.90,2026-02-27 18:44:37
21,HD현대에너지솔루션,0.87,2026-02-27 18:44:37
22,알테오젠,0.86,2026-02-27 18:44:37
23,삼성전자우,0.84,2026-02-27 18:44:37
24,삼성전기,0.83,2026-02-27 18:44:37
25,현대ADM,0.83,2026-02-27 18:44:37
26,현대무벡스,0.82,2026-02-27 18:44:37
27,이수페타시스,0.81,2026-02-27 18:44:37
28,삼성중공업,0.79,2026-02-27 18:44:37
29,LG화학,0.78,2026-02-27 18:44:37
30,현대로템,0.78,2026-02-27 18:44:37
