rank,name,score,ts
1,삼성전자,10.99,2026-02-03 12:16:52
2,SK하이닉스,6.82,2026-02-03 12:16:52
3,한화시스템,5.87,2026-02-03 12:16:52
4,미래에셋증권,3.55,2026-02-03 12:16:52
5,현대차,3.13,2026-02-03 12:16:52
6,두산에너빌리티,2.76,2026-02-03 12:16:52
7,에코프로,2.50,2026-02-03 12:16:52
8,한화오션,2.38,2026-02-03 12:16:52
9,NAVER,2.29,2026-02-03 12:16:52
10,삼성SDI,2.00,2026-02-03 12:16:52
11,삼표시멘트,1.79,2026-02-03 12:16:52
12,실리콘투,1.51,2026-02-03 12:16:52
13,엘앤에프,1.35,2026-02-03 12:16:52
14,휴림로봇,1.29,2026-02-03 12:16:52
15,대한전선,1.29,2026-02-03 12:16:52
16,삼천당제약,1.26,2026-02-03 12:16:52
17,알테오젠,1.25,2026-02-03 12:16:52
18,한미반도체,1.13,2026-02-03 12:16:52
19,미래에셋벤처투자,1.13,2026-02-03 12:16:52
20,에코프로비엠,1.11,2026-02-03 12:16:52
21,LS ELECTRIC,1.09,2026-02-03 12:16:52
22,레인보우로보틱스,1.05,2026-02-03 12:16:52
23,우리기술,1.04,2026-02-03 12:16:52
24,삼성중공업,1.04,2026-02-03 12:16:52
25,한화비전,0.97,2026-02-03 12:16:52
26,리노공업,0.94,2026-02-03 12:16:52
27,삼성전기,0.93,2026-02-03 12:16:52
28,POSCO홀딩스,0.91,2026-02-03 12:16:52
29,에이비엘바이오,0.90,2026-02-03 12:16:52
30,삼성전자우,0.83,2026-02-03 12:16:52
