rank,name,score,ts
1,삼성전자,23.34,2026-04-06 10:02:29
2,SK하이닉스,8.99,2026-04-06 10:02:29
3,삼천당제약,4.21,2026-04-06 10:02:29
4,풍산,3.80,2026-04-06 10:02:29
5,현대차,2.74,2026-04-06 10:02:29
6,두산에너빌리티,2.28,2026-04-06 10:02:29
7,후성,2.10,2026-04-06 10:02:29
8,SK이터닉스,1.65,2026-04-06 10:02:29
9,삼성E&A,1.65,2026-04-06 10:02:29
10,한화솔루션,1.61,2026-04-06 10:02:29
11,삼성SDI,1.60,2026-04-06 10:02:29
12,대한광통신,1.40,2026-04-06 10:02:29
13,펄어비스,1.36,2026-04-06 10:02:29
14,에코프로,1.23,2026-04-06 10:02:29
15,한화시스템,1.21,2026-04-06 10:02:29
16,LIG넥스원,1.13,2026-04-06 10:02:29
17,한화오션,1.10,2026-04-06 10:02:29
18,삼성중공업,1.09,2026-04-06 10:02:29
19,풍산홀딩스,1.06,2026-04-06 10:02:29
20,NAVER,1.02,2026-04-06 10:02:29
21,클로봇,1.02,2026-04-06 10:02:29
22,DL이앤씨,1.00,2026-04-06 10:02:29
23,엘앤에프,0.98,2026-04-06 10:02:29
24,POSCO홀딩스,0.89,2026-04-06 10:02:29
25,미래에셋증권,0.89,2026-04-06 10:02:29
26,대우건설,0.88,2026-04-06 10:02:29
27,알테오젠,0.86,2026-04-06 10:02:29
28,삼성전기,0.80,2026-04-06 10:02:29
29,한화에어로스페이스,0.78,2026-04-06 10:02:29
30,한미반도체,0.77,2026-04-06 10:02:29
