rank,name,score,ts
1,삼성전자,14.66,2026-06-07 10:29:16
2,SK하이닉스,10.54,2026-06-07 10:29:16
3,LG전자,4.94,2026-06-07 10:29:16
4,NAVER,4.72,2026-06-07 10:29:16
5,현대차,3.75,2026-06-07 10:29:16
6,삼성전기,3.10,2026-06-07 10:29:16
7,두산로보틱스,2.74,2026-06-07 10:29:16
8,LG씨엔에스,2.21,2026-06-07 10:29:16
9,두산에너빌리티,1.92,2026-06-07 10:29:16
10,LG이노텍,1.45,2026-06-07 10:29:16
11,에코프로,1.41,2026-06-07 10:29:16
12,로보스타,1.19,2026-06-07 10:29:16
13,삼성중공업,1.17,2026-06-07 10:29:16
14,주성엔지니어링,1.09,2026-06-07 10:29:16
15,삼성SDI,1.07,2026-06-07 10:29:16
16,에코프로비엠,1.01,2026-06-07 10:29:16
17,네이처셀,0.99,2026-06-07 10:29:16
18,대한광통신,0.98,2026-06-07 10:29:16
19,SK텔레콤,0.97,2026-06-07 10:29:16
20,한미반도체,0.93,2026-06-07 10:29:16
21,한화오션,0.91,2026-06-07 10:29:16
22,현대모비스,0.89,2026-06-07 10:29:16
23,POSCO홀딩스,0.87,2026-06-07 10:29:16
24,원익IPS,0.85,2026-06-07 10:29:16
25,대우건설,0.85,2026-06-07 10:29:16
26,삼성에스디에스,0.84,2026-06-07 10:29:16
27,한미약품,0.77,2026-06-07 10:29:16
28,LS ELECTRIC,0.75,2026-06-07 10:29:16
29,NC,0.75,2026-06-07 10:29:16
30,대한전선,0.75,2026-06-07 10:29:16
