rank,name,score,ts
1,에코프로,10.17,2026-01-28 12:57:42
2,삼성전자,8.26,2026-01-28 12:57:42
3,SK하이닉스,7.02,2026-01-28 12:57:42
4,현대차,3.55,2026-01-28 12:57:42
5,알테오젠,2.85,2026-01-28 12:57:42
6,NAVER,2.35,2026-01-28 12:57:42
7,에코프로비엠,2.34,2026-01-28 12:57:42
8,휴림로봇,2.30,2026-01-28 12:57:42
9,두산에너빌리티,2.10,2026-01-28 12:57:42
10,셀트리온,2.03,2026-01-28 12:57:42
11,삼성SDI,1.79,2026-01-28 12:57:42
12,레인보우로보틱스,1.70,2026-01-28 12:57:42
13,에스피지,1.52,2026-01-28 12:57:42
14,삼성중공업,1.35,2026-01-28 12:57:42
15,에코프로머티,1.34,2026-01-28 12:57:42
16,카카오페이,1.25,2026-01-28 12:57:42
17,LG에너지솔루션,1.24,2026-01-28 12:57:42
18,HLB,1.19,2026-01-28 12:57:42
19,다날,1.16,2026-01-28 12:57:42
20,한국전력,1.08,2026-01-28 12:57:42
21,삼성전자우,1.08,2026-01-28 12:57:42
22,에코프로에이치엔,1.06,2026-01-28 12:57:42
23,한미반도체,1.06,2026-01-28 12:57:42
24,현대바이오,1.04,2026-01-28 12:57:42
25,한화오션,1.00,2026-01-28 12:57:42
26,우리기술,0.98,2026-01-28 12:57:42
27,뉴로메카,0.93,2026-01-28 12:57:42
28,POSCO홀딩스,0.92,2026-01-28 12:57:42
29,대한광통신,0.90,2026-01-28 12:57:42
30,LG씨엔에스,0.90,2026-01-28 12:57:42
