rank,name,score,ts
1,삼성전자,10.99,2026-05-29 13:56:14
2,SK하이닉스,8.14,2026-05-29 13:56:14
3,삼성전기,7.81,2026-05-29 13:56:14
4,LG전자,6.99,2026-05-29 13:56:14
5,NAVER,5.73,2026-05-29 13:56:14
6,현대차,3.45,2026-05-29 13:56:14
7,LG이노텍,2.64,2026-05-29 13:56:14
8,삼성에스디에스,2.44,2026-05-29 13:56:14
9,LG씨엔에스,2.36,2026-05-29 13:56:14
10,삼성SDI,2.01,2026-05-29 13:56:14
11,두산에너빌리티,1.59,2026-05-29 13:56:14
12,삼화콘덴서,1.50,2026-05-29 13:56:14
13,LG디스플레이,1.31,2026-05-29 13:56:14
14,현대오토에버,1.29,2026-05-29 13:56:14
15,LG에너지솔루션,1.26,2026-05-29 13:56:14
16,대한광통신,1.22,2026-05-29 13:56:14
17,삼성전자우,1.16,2026-05-29 13:56:14
18,현대모비스,1.16,2026-05-29 13:56:14
19,카카오,1.05,2026-05-29 13:56:14
20,LS ELECTRIC,1.05,2026-05-29 13:56:14
21,한미반도체,1.04,2026-05-29 13:56:14
22,대우건설,0.93,2026-05-29 13:56:14
23,POSCO홀딩스,0.90,2026-05-29 13:56:14
24,제주반도체,0.85,2026-05-29 13:56:14
25,한화오션,0.80,2026-05-29 13:56:14
26,에코프로,0.78,2026-05-29 13:56:14
27,SOL AI반도체TOP2플러스,0.76,2026-05-29 13:56:14
28,주성엔지니어링,0.75,2026-05-29 13:56:14
29,대한전선,0.72,2026-05-29 13:56:14
30,SKC,0.71,2026-05-29 13:56:14
