rank,name,score,ts
1,SK하이닉스,20.54,2026-06-18 14:05:22
2,삼성전자,18.06,2026-06-18 14:05:22
3,삼성전기,5.18,2026-06-18 14:05:22
4,현대차,3.18,2026-06-18 14:05:22
5,SK스퀘어,2.24,2026-06-18 14:05:22
6,LG전자,2.10,2026-06-18 14:05:22
7,두산에너빌리티,1.90,2026-06-18 14:05:22
8,삼화콘덴서,1.65,2026-06-18 14:05:22
9,삼성전자우,1.64,2026-06-18 14:05:22
10,NAVER,1.63,2026-06-18 14:05:22
11,제주반도체,1.62,2026-06-18 14:05:22
12,HPSP,1.25,2026-06-18 14:05:22
13,SKC,1.22,2026-06-18 14:05:22
14,한화오션,1.16,2026-06-18 14:05:22
15,LG이노텍,1.04,2026-06-18 14:05:22
16,SOL AI반도체TOP2플러스,0.95,2026-06-18 14:05:22
17,예스티,0.94,2026-06-18 14:05:22
18,삼성SDI,0.91,2026-06-18 14:05:22
19,한미반도체,0.91,2026-06-18 14:05:22
20,대우건설,0.90,2026-06-18 14:05:22
21,대한광통신,0.75,2026-06-18 14:05:22
22,삼성중공업,0.73,2026-06-18 14:05:22
23,주성엔지니어링,0.73,2026-06-18 14:05:22
24,가온전선,0.69,2026-06-18 14:05:22
25,현대모비스,0.68,2026-06-18 14:05:22
26,에코프로,0.67,2026-06-18 14:05:22
27,KODEX SK하이닉스단일종목레버리지,0.65,2026-06-18 14:05:22
28,LS ELECTRIC,0.65,2026-06-18 14:05:22
29,LG씨엔에스,0.64,2026-06-18 14:05:22
30,미래에셋증권,0.63,2026-06-18 14:05:22
