rank,name,score,ts
1,삼성전자,10.45,2025-12-16 09:47:32
2,SK하이닉스,5.37,2025-12-16 09:47:32
3,오스코텍,4.38,2025-12-16 09:47:32
4,고려아연,3.07,2025-12-16 09:47:32
5,두산에너빌리티,2.59,2025-12-16 09:47:32
6,현대차,2.24,2025-12-16 09:47:32
7,신성델타테크,1.90,2025-12-16 09:47:32
8,한화오션,1.86,2025-12-16 09:47:32
9,삼성에피스홀딩스,1.71,2025-12-16 09:47:32
10,NAVER,1.68,2025-12-16 09:47:32
11,알테오젠,1.58,2025-12-16 09:47:32
12,에코프로,1.52,2025-12-16 09:47:32
13,에이비엘바이오,1.45,2025-12-16 09:47:32
14,펩트론,1.32,2025-12-16 09:47:32
15,현대오토에버,1.30,2025-12-16 09:47:32
16,동양고속,1.26,2025-12-16 09:47:32
17,삼성바이오로직스,1.25,2025-12-16 09:47:32
18,에코프로비엠,1.25,2025-12-16 09:47:32
19,셀트리온,1.23,2025-12-16 09:47:32
20,아크릴,1.23,2025-12-16 09:47:32
21,삼성SDI,1.22,2025-12-16 09:47:32
22,원익홀딩스,1.17,2025-12-16 09:47:32
23,HL만도,1.17,2025-12-16 09:47:32
24,삼성중공업,1.12,2025-12-16 09:47:32
25,에임드바이오,1.05,2025-12-16 09:47:32
26,클로봇,1.01,2025-12-16 09:47:32
27,포스코퓨처엠,1.01,2025-12-16 09:47:32
28,슈어소프트테크,0.98,2025-12-16 09:47:32
29,POSCO홀딩스,0.97,2025-12-16 09:47:32
30,하림지주,0.96,2025-12-16 09:47:32
