rank,name,score,ts
1,삼성전자,9.80,2025-12-23 12:51:28
2,이노스페이스,7.89,2025-12-23 12:51:28
3,한화오션,7.12,2025-12-23 12:51:28
4,SK하이닉스,4.26,2025-12-23 12:51:28
5,미래에셋벤처투자,2.95,2025-12-23 12:51:28
6,알지노믹스,2.59,2025-12-23 12:51:28
7,두산에너빌리티,2.13,2025-12-23 12:51:28
8,레인보우로보틱스,2.12,2025-12-23 12:51:28
9,휴림로봇,1.89,2025-12-23 12:51:28
10,포스코DX,1.78,2025-12-23 12:51:28
11,현대무벡스,1.72,2025-12-23 12:51:28
12,에이비엘바이오,1.48,2025-12-23 12:51:28
13,삼성중공업,1.39,2025-12-23 12:51:28
14,한화시스템,1.32,2025-12-23 12:51:28
15,클로봇,1.32,2025-12-23 12:51:28
16,에스피지,1.20,2025-12-23 12:51:28
17,NAVER,1.17,2025-12-23 12:51:28
18,동양고속,1.16,2025-12-23 12:51:28
19,에코프로,1.09,2025-12-23 12:51:28
20,나라스페이스테크놀로지,1.08,2025-12-23 12:51:28
21,삼성에피스홀딩스,1.08,2025-12-23 12:51:28
22,미래에셋증권,1.06,2025-12-23 12:51:28
23,현대차,1.04,2025-12-23 12:51:28
24,티엠씨,0.98,2025-12-23 12:51:28
25,한미반도체,0.96,2025-12-23 12:51:28
26,대주산업,0.91,2025-12-23 12:51:28
27,대성산업,0.90,2025-12-23 12:51:28
28,원익홀딩스,0.89,2025-12-23 12:51:28
29,천일고속,0.85,2025-12-23 12:51:28
30,삼현,0.82,2025-12-23 12:51:28
