rank,name,score,ts
1,삼성전자,15.25,2026-06-02 14:03:39
2,SK하이닉스,7.87,2026-06-02 14:03:39
3,LG전자,6.12,2026-06-02 14:03:39
4,NAVER,5.60,2026-06-02 14:03:39
5,삼성전기,4.95,2026-06-02 14:03:39
6,SK텔레콤,3.69,2026-06-02 14:03:39
7,LG이노텍,3.44,2026-06-02 14:03:39
8,현대차,3.03,2026-06-02 14:03:39
9,두산로보틱스,2.68,2026-06-02 14:03:39
10,삼성중공업,2.45,2026-06-02 14:03:39
11,LG씨엔에스,2.32,2026-06-02 14:03:39
12,두산에너빌리티,1.73,2026-06-02 14:03:39
13,삼성에스디에스,1.65,2026-06-02 14:03:39
14,삼성전자우,1.30,2026-06-02 14:03:39
15,삼성SDI,1.22,2026-06-02 14:03:39
16,LG디스플레이,0.98,2026-06-02 14:03:39
17,로보스타,0.97,2026-06-02 14:03:39
18,주성엔지니어링,0.93,2026-06-02 14:03:39
19,성호전자,0.88,2026-06-02 14:03:39
20,대한광통신,0.87,2026-06-02 14:03:39
21,LS ELECTRIC,0.86,2026-06-02 14:03:39
22,한화에어로스페이스,0.82,2026-06-02 14:03:39
23,현대모비스,0.75,2026-06-02 14:03:39
24,대우건설,0.71,2026-06-02 14:03:39
25,한화오션,0.71,2026-06-02 14:03:39
26,LG에너지솔루션,0.71,2026-06-02 14:03:39
27,SOL AI반도체TOP2플러스,0.70,2026-06-02 14:03:39
28,POSCO홀딩스,0.68,2026-06-02 14:03:39
29,한미반도체,0.67,2026-06-02 14:03:39
30,LG,0.66,2026-06-02 14:03:39
