순위,종목명,검색비율,현재가,등락률
1,SK하이닉스,9.15%,"577,000","상승33,000"
2,삼성전자,7.36%,"109,500","상승1,100"
3,에코프로,5.96%,"117,500","상승20,600"
4,두산에너빌리티,4.47%,"76,800","하락3,600"
5,한화오션,2.85%,"114,000","상승5,500"
6,알테오젠,2.46%,"458,000","상승1,500"
7,현대차,2.35%,"315,500",상승500
8,에이비엘바이오,2.13%,"186,800","하락3,800"
9,에코프로비엠,2.01%,"173,300","상승13,600"
10,신성델타테크,1.64%,"71,100","상승7,900"
11,NAVER,1.54%,"249,000",하락500
12,대화제약,1.53%,"23,300","상승4,130"
13,에스피지,1.52%,"75,000","상승8,400"
14,삼성SDI,1.50%,"314,000","상승6,500"
15,디앤디파마텍,1.43%,"83,000","하락12,900"
16,LG에너지솔루션,1.32%,"451,500","상승25,500"
17,에임드바이오,1.29%,"48,550","하락8,650"
18,천일고속,1.24%,"368,000","하락45,000"
19,POSCO홀딩스,1.18%,"319,000","상승8,000"
20,펩트론,1.13%,"267,000","하락18,000"
21,삼성중공업,1.11%,"25,900",상승450
22,한화에어로스페이스,1.09%,"937,000","상승42,000"
23,디아이씨,1.08%,"12,840","상승1,670"
24,셀트리온,1.07%,"187,100","상승3,800"
25,삼성에피스홀딩스,1.06%,"515,000",보합0
26,비에이치아이,1.04%,"52,700","하락6,900"
27,현대로템,1.02%,"192,100","상승10,100"
28,바이젠셀,1.00%,"13,260","상한가3,060"
29,이수스페셜티케미컬,1.00%,"59,500","상승8,000"
30,포스코퓨처엠,0.96%,"220,500","상승14,500"
