rank,name,score,ts
1,삼성전자,11.12,2025-12-17 09:47:12
2,SK하이닉스,5.33,2025-12-17 09:47:12
3,두산에너빌리티,3.74,2025-12-17 09:47:12
4,메지온,3.61,2025-12-17 09:47:12
5,NAVER,2.28,2025-12-17 09:47:12
6,한화오션,2.25,2025-12-17 09:47:12
7,현대차,2.18,2025-12-17 09:47:12
8,알테오젠,2.17,2025-12-17 09:47:12
9,에코프로,1.65,2025-12-17 09:47:12
10,에코프로비엠,1.58,2025-12-17 09:47:12
11,고려아연,1.57,2025-12-17 09:47:12
12,오스코텍,1.56,2025-12-17 09:47:12
13,삼성에피스홀딩스,1.52,2025-12-17 09:47:12
14,동양고속,1.45,2025-12-17 09:47:12
15,삼성SDI,1.38,2025-12-17 09:47:12
16,나라스페이스테크놀로지,1.34,2025-12-17 09:47:12
17,에르코스,1.30,2025-12-17 09:47:12
18,퓨런티어,1.26,2025-12-17 09:47:12
19,에이비엘바이오,1.23,2025-12-17 09:47:12
20,아크릴,1.18,2025-12-17 09:47:12
21,삼성중공업,1.16,2025-12-17 09:47:12
22,디앤디파마텍,1.11,2025-12-17 09:47:12
23,POSCO홀딩스,1.10,2025-12-17 09:47:12
24,이엔셀,1.07,2025-12-17 09:47:12
25,하림지주,1.05,2025-12-17 09:47:12
26,셀트리온,1.01,2025-12-17 09:47:12
27,포스코퓨처엠,1.00,2025-12-17 09:47:12
28,레인보우로보틱스,0.94,2025-12-17 09:47:12
29,JW중외제약,0.91,2025-12-17 09:47:12
30,LG에너지솔루션,0.88,2025-12-17 09:47:12
