rank,name,score,ts
1,삼성전자,11.92,2026-03-01 18:41:24
2,현대차,5.39,2026-03-01 18:41:24
3,SK하이닉스,4.59,2026-03-01 18:41:24
4,흥구석유,4.18,2026-03-01 18:41:24
5,한미반도체,3.04,2026-03-01 18:41:24
6,두산에너빌리티,2.57,2026-03-01 18:41:24
7,한화시스템,2.36,2026-03-01 18:41:24
8,에코프로,2.16,2026-03-01 18:41:24
9,HMM,2.03,2026-03-01 18:41:24
10,삼성SDI,1.89,2026-03-01 18:41:24
11,한화솔루션,1.66,2026-03-01 18:41:24
12,현대로템,1.61,2026-03-01 18:41:24
13,한화오션,1.52,2026-03-01 18:41:24
14,NAVER,1.46,2026-03-01 18:41:24
15,한화에어로스페이스,1.44,2026-03-01 18:41:24
16,POSCO홀딩스,1.41,2026-03-01 18:41:24
17,삼천당제약,1.27,2026-03-01 18:41:24
18,우리기술,1.16,2026-03-01 18:41:24
19,현대제철,1.12,2026-03-01 18:41:24
20,한국전력,1.12,2026-03-01 18:41:24
21,LG전자,1.11,2026-03-01 18:41:24
22,미래에셋증권,1.10,2026-03-01 18:41:24
23,에코프로비엠,1.09,2026-03-01 18:41:24
24,현대ADM,1.09,2026-03-01 18:41:24
25,카카오,1.07,2026-03-01 18:41:24
26,SK이노베이션,1.02,2026-03-01 18:41:24
27,한국항공우주,1.01,2026-03-01 18:41:24
28,삼표시멘트,0.97,2026-03-01 18:41:24
29,LG화학,0.93,2026-03-01 18:41:24
30,LIG넥스원,0.90,2026-03-01 18:41:24
