rank,name,score,ts
1,삼성전자,20.29,2026-08-19 10:57:49
2,SK하이닉스,18.59,2026-08-19 10:57:49
3,삼성전기,3.34,2026-08-19 10:57:49
4,한화에어로스페이스,2.47,2026-08-19 10:57:49
5,현대차,2.44,2026-08-19 10:57:49
6,SK스퀘어,2.13,2026-08-19 10:57:49
7,LG전자,1.98,2026-08-19 10:57:49
8,NAVER,1.85,2026-08-19 10:57:49
9,두산에너빌리티,1.78,2026-08-19 10:57:49
10,삼성SDI,1.58,2026-08-19 10:57:49
11,삼성전자우,1.43,2026-08-19 10:57:49
12,한화오션,1.05,2026-08-19 10:57:49
13,로보티즈,0.99,2026-08-19 10:57:49
14,알테오젠,0.94,2026-08-19 10:57:49
15,아난티,0.92,2026-08-19 10:57:49
16,코오롱티슈진,0.89,2026-08-19 10:57:49
17,주성엔지니어링,0.83,2026-08-19 10:57:49
18,이수페타시스,0.83,2026-08-19 10:57:49
19,한미반도체,0.77,2026-08-19 10:57:49
20,바이오니아,0.76,2026-08-19 10:57:49
21,삼성중공업,0.76,2026-08-19 10:57:49
22,한국전력,0.74,2026-08-19 10:57:49
23,에코프로,0.73,2026-08-19 10:57:49
24,LS ELECTRIC,0.73,2026-08-19 10:57:49
25,HPSP,0.70,2026-08-19 10:57:49
26,실리콘투,0.70,2026-08-19 10:57:49
27,HLB,0.68,2026-08-19 10:57:49
28,한화솔루션,0.68,2026-08-19 10:57:49
29,POSCO홀딩스,0.67,2026-08-19 10:57:49
30,셀트리온,0.67,2026-08-19 10:57:49
