rank,name,score,ts
1,삼성전자,6.10,2026-01-31 15:44:27
2,SK하이닉스,5.73,2026-01-31 15:44:27
3,현대차,4.06,2026-01-31 15:44:27
4,에코프로,3.62,2026-01-31 15:44:27
5,에이비엘바이오,2.93,2026-01-31 15:44:27
6,삼성SDI,2.89,2026-01-31 15:44:27
7,한미반도체,2.31,2026-01-31 15:44:27
8,KODEX 은선물(H),2.18,2026-01-31 15:44:27
9,NAVER,2.10,2026-01-31 15:44:27
10,두산에너빌리티,1.99,2026-01-31 15:44:27
11,펄어비스,1.80,2026-01-31 15:44:27
12,에코프로비엠,1.68,2026-01-31 15:44:27
13,HLB,1.66,2026-01-31 15:44:27
14,루닛,1.55,2026-01-31 15:44:27
15,삼표시멘트,1.55,2026-01-31 15:44:27
16,알테오젠,1.47,2026-01-31 15:44:27
17,신성델타테크,1.43,2026-01-31 15:44:27
18,현대바이오,1.43,2026-01-31 15:44:27
19,POSCO홀딩스,1.39,2026-01-31 15:44:27
20,휴림로봇,1.36,2026-01-31 15:44:27
21,한화오션,1.34,2026-01-31 15:44:27
22,삼천당제약,1.22,2026-01-31 15:44:27
23,제주반도체,1.22,2026-01-31 15:44:27
24,한화시스템,1.18,2026-01-31 15:44:27
25,한화에어로스페이스,1.14,2026-01-31 15:44:27
26,뉴로메카,1.11,2026-01-31 15:44:27
27,레인보우로보틱스,1.10,2026-01-31 15:44:27
28,미래에셋증권,1.04,2026-01-31 15:44:27
29,펩트론,1.03,2026-01-31 15:44:27
30,현대로템,1.03,2026-01-31 15:44:27
