rank,name,score,ts
1,SK하이닉스,22.44,2026-08-07 12:23:26
2,삼성전자,16.69,2026-08-07 12:23:26
3,NAVER,3.72,2026-08-07 12:23:26
4,삼성전기,3.25,2026-08-07 12:23:26
5,LG전자,2.28,2026-08-07 12:23:26
6,한화솔루션,1.92,2026-08-07 12:23:26
7,현대차,1.85,2026-08-07 12:23:26
8,삼성SDI,1.70,2026-08-07 12:23:26
9,카카오,1.61,2026-08-07 12:23:26
10,두산에너빌리티,1.48,2026-08-07 12:23:26
11,SK스퀘어,1.36,2026-08-07 12:23:26
12,파마리서치,1.36,2026-08-07 12:23:26
13,셀트리온,1.19,2026-08-07 12:23:26
14,삼성전자우,1.03,2026-08-07 12:23:26
15,에코프로,1.00,2026-08-07 12:23:26
16,대한광통신,0.96,2026-08-07 12:23:26
17,한화오션,0.96,2026-08-07 12:23:26
18,포스코퓨처엠,0.93,2026-08-07 12:23:26
19,SK이터닉스,0.91,2026-08-07 12:23:26
20,한미반도체,0.87,2026-08-07 12:23:26
21,알테오젠,0.86,2026-08-07 12:23:26
22,대우건설,0.73,2026-08-07 12:23:26
23,레인보우로보틱스,0.72,2026-08-07 12:23:26
24,LS ELECTRIC,0.72,2026-08-07 12:23:26
25,HLB,0.71,2026-08-07 12:23:26
26,POSCO홀딩스,0.71,2026-08-07 12:23:26
27,코오롱티슈진,0.65,2026-08-07 12:23:26
28,스피어,0.64,2026-08-07 12:23:26
29,OCI홀딩스,0.62,2026-08-07 12:23:26
30,엘앤에프,0.62,2026-08-07 12:23:26
