rank,name,score,ts
1,삼성전자,13.21,2026-06-21 17:07:58
2,SK하이닉스,11.83,2026-06-21 17:07:58
3,현대차,3.78,2026-06-21 17:07:58
4,LG전자,3.60,2026-06-21 17:07:58
5,삼성전기,3.25,2026-06-21 17:07:58
6,NAVER,2.53,2026-06-21 17:07:58
7,한화오션,2.16,2026-06-21 17:07:58
8,두산에너빌리티,2.10,2026-06-21 17:07:58
9,삼성SDI,1.89,2026-06-21 17:07:58
10,LG씨엔에스,1.86,2026-06-21 17:07:58
11,한미반도체,1.74,2026-06-21 17:07:58
12,SK스퀘어,1.70,2026-06-21 17:07:58
13,LG이노텍,1.45,2026-06-21 17:07:58
14,LS ELECTRIC,1.35,2026-06-21 17:07:58
15,에코프로,1.19,2026-06-21 17:07:58
16,대우건설,1.13,2026-06-21 17:07:58
17,주성엔지니어링,1.06,2026-06-21 17:07:58
18,디앤디파마텍,1.03,2026-06-21 17:07:58
19,제주반도체,1.01,2026-06-21 17:07:58
20,현대모비스,1.00,2026-06-21 17:07:58
21,삼성중공업,0.98,2026-06-21 17:07:58
22,삼성물산,0.97,2026-06-21 17:07:58
23,미래에셋증권,0.94,2026-06-21 17:07:58
24,에코프로비엠,0.93,2026-06-21 17:07:58
25,HPSP,0.91,2026-06-21 17:07:58
26,POSCO홀딩스,0.90,2026-06-21 17:07:58
27,대한광통신,0.85,2026-06-21 17:07:58
28,삼성E&A,0.83,2026-06-21 17:07:58
29,HLB,0.80,2026-06-21 17:07:58
30,알테오젠,0.75,2026-06-21 17:07:58
