rank,name,score,ts
1,SK하이닉스,20.92,2026-07-24 18:01:25
2,삼성전자,20.29,2026-07-24 18:01:25
3,코오롱티슈진,3.65,2026-07-24 18:01:25
4,현대차,2.96,2026-07-24 18:01:25
5,삼성전기,2.65,2026-07-24 18:01:25
6,SK스퀘어,2.00,2026-07-24 18:01:25
7,NAVER,1.86,2026-07-24 18:01:25
8,펩트론,1.58,2026-07-24 18:01:25
9,LG전자,1.55,2026-07-24 18:01:25
10,삼성바이오로직스,1.45,2026-07-24 18:01:25
11,두산에너빌리티,1.45,2026-07-24 18:01:25
12,기아,1.35,2026-07-24 18:01:25
13,한화오션,1.34,2026-07-24 18:01:25
14,SK이터닉스,1.30,2026-07-24 18:01:25
15,삼천당제약,1.27,2026-07-24 18:01:25
16,레인보우로보틱스,1.24,2026-07-24 18:01:25
17,LS ELECTRIC,1.12,2026-07-24 18:01:25
18,삼성중공업,1.11,2026-07-24 18:01:25
19,HLB,1.09,2026-07-24 18:01:25
20,SK텔레콤,1.04,2026-07-24 18:01:25
21,한미반도체,0.99,2026-07-24 18:01:25
22,삼성SDI,0.96,2026-07-24 18:01:25
23,셀트리온,0.79,2026-07-24 18:01:25
24,현대힘스,0.73,2026-07-24 18:01:25
25,에코프로,0.72,2026-07-24 18:01:25
26,알테오젠,0.71,2026-07-24 18:01:25
27,삼성전자우,0.68,2026-07-24 18:01:25
28,SK,0.67,2026-07-24 18:01:25
29,주성엔지니어링,0.65,2026-07-24 18:01:25
30,POSCO홀딩스,0.56,2026-07-24 18:01:25
