rank,name,score,ts
1,삼성전자,18.06,2026-03-28 09:54:48
2,SK하이닉스,7.18,2026-03-28 09:54:48
3,한화솔루션,3.50,2026-03-28 09:54:48
4,현대차,3.33,2026-03-28 09:54:48
5,펄어비스,3.23,2026-03-28 09:54:48
6,두산에너빌리티,2.28,2026-03-28 09:54:48
7,에코프로,2.22,2026-03-28 09:54:48
8,대우건설,2.05,2026-03-28 09:54:48
9,삼천당제약,1.86,2026-03-28 09:54:48
10,우리기술,1.51,2026-03-28 09:54:48
11,에코프로비엠,1.49,2026-03-28 09:54:48
12,우리로,1.35,2026-03-28 09:54:48
13,삼성SDI,1.28,2026-03-28 09:54:48
14,HLB,1.21,2026-03-28 09:54:48
15,대한광통신,1.18,2026-03-28 09:54:48
16,NAVER,1.13,2026-03-28 09:54:48
17,흥구석유,1.12,2026-03-28 09:54:48
18,엘앤에프,1.07,2026-03-28 09:54:48
19,한화시스템,1.05,2026-03-28 09:54:48
20,알테오젠,1.04,2026-03-28 09:54:48
21,산일전기,0.98,2026-03-28 09:54:48
22,미래에셋증권,0.95,2026-03-28 09:54:48
23,셀트리온,0.94,2026-03-28 09:54:48
24,한화오션,0.90,2026-03-28 09:54:48
25,한미반도체,0.89,2026-03-28 09:54:48
26,LIG넥스원,0.88,2026-03-28 09:54:48
27,SK이터닉스,0.87,2026-03-28 09:54:48
28,삼성중공업,0.84,2026-03-28 09:54:48
29,금양,0.82,2026-03-28 09:54:48
30,흥아해운,0.82,2026-03-28 09:54:48
