rank,name,score,ts
1,삼성전자,6.44,2026-02-01 10:01:11
2,SK하이닉스,5.57,2026-02-01 10:01:11
3,현대차,4.59,2026-02-01 10:01:11
4,에이비엘바이오,3.54,2026-02-01 10:01:11
5,에코프로,3.51,2026-02-01 10:01:11
6,삼성SDI,2.54,2026-02-01 10:01:11
7,두산에너빌리티,2.26,2026-02-01 10:01:11
8,한미반도체,2.12,2026-02-01 10:01:11
9,NAVER,2.06,2026-02-01 10:01:11
10,알테오젠,1.86,2026-02-01 10:01:11
11,펄어비스,1.71,2026-02-01 10:01:11
12,에코프로비엠,1.68,2026-02-01 10:01:11
13,HLB,1.65,2026-02-01 10:01:11
14,한화오션,1.58,2026-02-01 10:01:11
15,현대바이오,1.56,2026-02-01 10:01:11
16,KODEX 은선물(H),1.54,2026-02-01 10:01:11
17,삼천당제약,1.46,2026-02-01 10:01:11
18,삼표시멘트,1.41,2026-02-01 10:01:11
19,휴림로봇,1.39,2026-02-01 10:01:11
20,신성델타테크,1.37,2026-02-01 10:01:11
21,제주반도체,1.27,2026-02-01 10:01:11
22,한화시스템,1.26,2026-02-01 10:01:11
23,흥구석유,1.22,2026-02-01 10:01:11
24,POSCO홀딩스,1.20,2026-02-01 10:01:11
25,루닛,1.08,2026-02-01 10:01:11
26,레인보우로보틱스,1.01,2026-02-01 10:01:11
27,뉴로메카,1.01,2026-02-01 10:01:11
28,현대로템,0.97,2026-02-01 10:01:11
29,미래에셋증권,0.94,2026-02-01 10:01:11
30,셀트리온,0.90,2026-02-01 10:01:11
