순위,종목명,검색비율,현재가,등락률
1,삼성전자,10.89%,"108,900",하락600
2,SK하이닉스,10.48%,"566,000","하락11,000"
3,에코프로,3.56%,"116,700",하락800
4,두산에너빌리티,3.33%,"76,200",하락600
5,현대차,3.17%,"303,500","하락12,000"
6,엘앤씨바이오,2.96%,"78,800","상승11,700"
7,알테오젠,2.78%,"460,500","상승2,500"
8,한화오션,2.58%,"115,450","상승1,450"
9,에코프로비엠,2.04%,"183,200","상승9,900"
10,에이비엘바이오,2.00%,"186,800",보합0
11,NAVER,1.71%,"247,250","하락1,750"
12,현대로템,1.39%,"193,800","상승1,700"
13,삼성SDI,1.32%,"310,000","하락4,000"
14,LG에너지솔루션,1.27%,"443,500","하락8,000"
15,신성델타테크,1.19%,"67,300","하락3,800"
16,필옵틱스,1.13%,"42,850","상승1,750"
17,셀트리온,1.12%,"186,100","하락1,000"
18,삼성중공업,1.11%,"27,150","상승1,250"
19,천보,1.08%,"66,900","상승2,500"
20,엔켐,1.04%,"70,900","상승1,500"
21,POSCO홀딩스,0.97%,"313,500","하락5,500"
22,레인보우로보틱스,0.96%,"443,000","하락2,500"
23,테라뷰,0.93%,"13,880","상승5,880"
24,오름테라퓨틱,0.89%,"83,000","상승7,300"
25,펩트론,0.89%,"273,500","상승6,500"
26,포스코퓨처엠,0.86%,"221,000",상승500
27,삼성에피스홀딩스,0.83%,"557,000","상승42,000"
28,HL만도,0.81%,"55,800","하락3,300"
29,에스피지,0.80%,"72,900","하락2,100"
30,대화제약,0.78%,"21,200","하락2,100"
