rank,name,score,ts
1,삼성전자,18.21,2026-06-18 19:57:02
2,SK하이닉스,15.32,2026-06-18 19:57:02
3,삼성전기,4.30,2026-06-18 19:57:02
4,한미반도체,4.04,2026-06-18 19:57:02
5,현대차,3.37,2026-06-18 19:57:02
6,두산에너빌리티,2.51,2026-06-18 19:57:02
7,LG전자,2.38,2026-06-18 19:57:02
8,NAVER,2.11,2026-06-18 19:57:02
9,SK스퀘어,2.02,2026-06-18 19:57:02
10,삼화콘덴서,1.78,2026-06-18 19:57:02
11,LG이노텍,1.54,2026-06-18 19:57:02
12,한화오션,1.45,2026-06-18 19:57:02
13,HPSP,1.28,2026-06-18 19:57:02
14,삼성전자우,1.06,2026-06-18 19:57:02
15,삼성SDI,1.03,2026-06-18 19:57:02
16,삼성중공업,1.00,2026-06-18 19:57:02
17,예스티,0.94,2026-06-18 19:57:02
18,미래에셋증권,0.89,2026-06-18 19:57:02
19,LG씨엔에스,0.82,2026-06-18 19:57:02
20,LS ELECTRIC,0.82,2026-06-18 19:57:02
21,대우건설,0.80,2026-06-18 19:57:02
22,SKC,0.79,2026-06-18 19:57:02
23,디앤디파마텍,0.78,2026-06-18 19:57:02
24,에코프로,0.78,2026-06-18 19:57:02
25,현대모비스,0.75,2026-06-18 19:57:02
26,가온전선,0.75,2026-06-18 19:57:02
27,POSCO홀딩스,0.74,2026-06-18 19:57:02
28,제주반도체,0.74,2026-06-18 19:57:02
29,삼성E&A,0.68,2026-06-18 19:57:02
30,주성엔지니어링,0.61,2026-06-18 19:57:02
