rank,name,score,ts
1,삼성전자,11.12,2026-02-08 12:41:40
2,SK하이닉스,5.64,2026-02-08 12:41:40
3,한화솔루션,3.81,2026-02-08 12:41:40
4,현대차,3.76,2026-02-08 12:41:40
5,두산에너빌리티,3.07,2026-02-08 12:41:40
6,에코프로,2.77,2026-02-08 12:41:40
7,NAVER,2.33,2026-02-08 12:41:40
8,삼표시멘트,2.27,2026-02-08 12:41:40
9,한화오션,1.85,2026-02-08 12:41:40
10,삼성SDI,1.60,2026-02-08 12:41:40
11,한미반도체,1.59,2026-02-08 12:41:40
12,셀트리온,1.45,2026-02-08 12:41:40
13,에코프로비엠,1.45,2026-02-08 12:41:40
14,한화시스템,1.37,2026-02-08 12:41:40
15,알테오젠,1.34,2026-02-08 12:41:40
16,POSCO홀딩스,1.32,2026-02-08 12:41:40
17,휴림로봇,1.30,2026-02-08 12:41:40
18,스피어,1.27,2026-02-08 12:41:40
19,엔씨소프트,1.14,2026-02-08 12:41:40
20,우리기술,1.08,2026-02-08 12:41:40
21,에이비엘바이오,1.04,2026-02-08 12:41:40
22,미래에셋증권,1.04,2026-02-08 12:41:40
23,대한전선,0.93,2026-02-08 12:41:40
24,제주반도체,0.90,2026-02-08 12:41:40
25,뉴로메카,0.88,2026-02-08 12:41:40
26,SG,0.88,2026-02-08 12:41:40
27,비엘팜텍,0.87,2026-02-08 12:41:40
28,삼천당제약,0.86,2026-02-08 12:41:40
29,삼성중공업,0.85,2026-02-08 12:41:40
30,카카오,0.82,2026-02-08 12:41:40
