rank,name,score,ts
1,삼성전자,12.86,2026-03-15 18:43:16
2,SK하이닉스,4.91,2026-03-15 18:43:16
3,두산에너빌리티,3.68,2026-03-15 18:43:16
4,우리기술,3.24,2026-03-15 18:43:16
5,현대차,2.98,2026-03-15 18:43:16
6,한화시스템,2.81,2026-03-15 18:43:16
7,에코프로,2.09,2026-03-15 18:43:16
8,LIG넥스원,1.88,2026-03-15 18:43:16
9,삼성중공업,1.84,2026-03-15 18:43:16
10,대우건설,1.73,2026-03-15 18:43:16
11,펄어비스,1.68,2026-03-15 18:43:16
12,한화오션,1.67,2026-03-15 18:43:16
13,흥구석유,1.62,2026-03-15 18:43:16
14,한화솔루션,1.60,2026-03-15 18:43:16
15,쏠리드,1.50,2026-03-15 18:43:16
16,한미반도체,1.29,2026-03-15 18:43:16
17,SK이터닉스,1.28,2026-03-15 18:43:16
18,NAVER,1.27,2026-03-15 18:43:16
19,삼성SDI,1.26,2026-03-15 18:43:16
20,미래에셋증권,1.20,2026-03-15 18:43:16
21,대한광통신,1.18,2026-03-15 18:43:16
22,한화에어로스페이스,1.14,2026-03-15 18:43:16
23,에코프로비엠,1.12,2026-03-15 18:43:16
24,네이처셀,1.12,2026-03-15 18:43:16
25,POSCO홀딩스,1.10,2026-03-15 18:43:16
26,S-Oil,1.10,2026-03-15 18:43:16
27,알테오젠,1.09,2026-03-15 18:43:16
28,현대건설,0.98,2026-03-15 18:43:16
29,현대로템,0.97,2026-03-15 18:43:16
30,현대ADM,0.93,2026-03-15 18:43:16
