rank,name,score,ts
1,삼성전자,16.29,2026-02-02 14:11:27
2,SK하이닉스,12.72,2026-02-02 14:11:27
3,현대차,4.55,2026-02-02 14:11:27
4,에코프로,3.77,2026-02-02 14:11:27
5,삼성SDI,2.52,2026-02-02 14:11:27
6,두산에너빌리티,2.48,2026-02-02 14:11:27
7,한미반도체,1.94,2026-02-02 14:11:27
8,NAVER,1.74,2026-02-02 14:11:27
9,덕양에너젠,1.73,2026-02-02 14:11:27
10,알테오젠,1.66,2026-02-02 14:11:27
11,삼표시멘트,1.48,2026-02-02 14:11:27
12,에코프로비엠,1.30,2026-02-02 14:11:27
13,KODEX 은선물(H),1.25,2026-02-02 14:11:27
14,한화오션,1.24,2026-02-02 14:11:27
15,카카오,1.16,2026-02-02 14:11:27
16,KODEX 200선물인버스2X,1.11,2026-02-02 14:11:27
17,삼성중공업,1.10,2026-02-02 14:11:27
18,휴림로봇,1.09,2026-02-02 14:11:27
19,삼성전자우,1.03,2026-02-02 14:11:27
20,현대무벡스,0.98,2026-02-02 14:11:27
21,효성중공업,0.98,2026-02-02 14:11:27
22,에이비엘바이오,0.97,2026-02-02 14:11:27
23,한화시스템,0.88,2026-02-02 14:11:27
24,POSCO홀딩스,0.88,2026-02-02 14:11:27
25,미래에셋증권,0.85,2026-02-02 14:11:27
26,한화에어로스페이스,0.80,2026-02-02 14:11:27
27,뉴로핏,0.77,2026-02-02 14:11:27
28,HLB,0.77,2026-02-02 14:11:27
29,레인보우로보틱스,0.74,2026-02-02 14:11:27
30,제주반도체,0.73,2026-02-02 14:11:27
