rank,name,score,ts
1,삼성전자,19.97,2026-08-26 19:03:38
2,SK하이닉스,14.97,2026-08-26 19:03:38
3,두산에너빌리티,4.33,2026-08-26 19:03:38
4,현대차,4.25,2026-08-26 19:03:38
5,삼성전기,2.83,2026-08-26 19:03:38
6,SK이노베이션,1.84,2026-08-26 19:03:38
7,SK아이이테크놀로지,1.71,2026-08-26 19:03:38
8,NAVER,1.69,2026-08-26 19:03:38
9,LG전자,1.53,2026-08-26 19:03:38
10,알테오젠,1.31,2026-08-26 19:03:38
11,SK스퀘어,1.28,2026-08-26 19:03:38
12,삼성SDI,1.27,2026-08-26 19:03:38
13,현대모비스,1.21,2026-08-26 19:03:38
14,한미약품,1.18,2026-08-26 19:03:38
15,삼성전자우,1.17,2026-08-26 19:03:38
16,한국전력,1.15,2026-08-26 19:03:38
17,현대건설,1.09,2026-08-26 19:03:38
18,대우건설,1.05,2026-08-26 19:03:38
19,한화오션,1.04,2026-08-26 19:03:38
20,삼성중공업,0.85,2026-08-26 19:03:38
21,에코프로,0.83,2026-08-26 19:03:38
22,POSCO홀딩스,0.81,2026-08-26 19:03:38
23,한미반도체,0.81,2026-08-26 19:03:38
24,한전기술,0.80,2026-08-26 19:03:38
25,LS ELECTRIC,0.79,2026-08-26 19:03:38
26,셀트리온,0.75,2026-08-26 19:03:38
27,대한항공,0.74,2026-08-26 19:03:38
28,대한광통신,0.74,2026-08-26 19:03:38
29,HLB,0.71,2026-08-26 19:03:38
30,현대오토에버,0.69,2026-08-26 19:03:38
