rank,name,score,ts
1,삼성전자,9.29,2026-01-15 18:39:41
2,NAVER,7.59,2026-01-15 18:39:41
3,LG씨엔에스,7.46,2026-01-15 18:39:41
4,SK하이닉스,3.65,2026-01-15 18:39:41
5,현대차,3.42,2026-01-15 18:39:41
6,휴림로봇,2.54,2026-01-15 18:39:41
7,포스코DX,2.49,2026-01-15 18:39:41
8,두산에너빌리티,2.42,2026-01-15 18:39:41
9,한화오션,2.32,2026-01-15 18:39:41
10,한화시스템,2.16,2026-01-15 18:39:41
11,삼성중공업,2.04,2026-01-15 18:39:41
12,한미반도체,1.71,2026-01-15 18:39:41
13,POSCO홀딩스,1.65,2026-01-15 18:39:41
14,현대무벡스,1.40,2026-01-15 18:39:41
15,한국항공우주,1.22,2026-01-15 18:39:41
16,레인보우로보틱스,1.10,2026-01-15 18:39:41
17,기아,1.09,2026-01-15 18:39:41
18,뉴로메카,0.99,2026-01-15 18:39:41
19,엔씨소프트,0.98,2026-01-15 18:39:41
20,에코프로,0.97,2026-01-15 18:39:41
21,한화,0.93,2026-01-15 18:39:41
22,셀트리온,0.91,2026-01-15 18:39:41
23,HLB,0.88,2026-01-15 18:39:41
24,삼성SDI,0.88,2026-01-15 18:39:41
25,현대건설,0.87,2026-01-15 18:39:41
26,카카오,0.83,2026-01-15 18:39:41
27,고려아연,0.83,2026-01-15 18:39:41
28,에스피지,0.82,2026-01-15 18:39:41
29,LG전자,0.79,2026-01-15 18:39:41
30,한화갤러리아,0.74,2026-01-15 18:39:41
