rank,name,score,ts
1,삼성전자,19.00,2026-03-12 09:47:58
2,SK하이닉스,8.15,2026-03-12 09:47:58
3,현대차,4.04,2026-03-12 09:47:58
4,한화시스템,3.59,2026-03-12 09:47:58
5,두산에너빌리티,3.40,2026-03-12 09:47:58
6,LIG넥스원,2.39,2026-03-12 09:47:58
7,미래에셋증권,2.22,2026-03-12 09:47:58
8,한화솔루션,2.04,2026-03-12 09:47:58
9,한화오션,1.92,2026-03-12 09:47:58
10,성우하이텍,1.90,2026-03-12 09:47:58
11,S-Oil,1.78,2026-03-12 09:47:58
12,에코프로,1.70,2026-03-12 09:47:58
13,한미반도체,1.66,2026-03-12 09:47:58
14,NAVER,1.45,2026-03-12 09:47:58
15,삼성중공업,1.34,2026-03-12 09:47:58
16,삼성SDI,1.33,2026-03-12 09:47:58
17,카카오,1.28,2026-03-12 09:47:58
18,우리기술,1.26,2026-03-12 09:47:58
19,한화에어로스페이스,1.17,2026-03-12 09:47:58
20,흥구석유,1.10,2026-03-12 09:47:58
21,케이엠더블유,0.95,2026-03-12 09:47:58
22,유한양행,0.88,2026-03-12 09:47:58
23,삼성전기,0.86,2026-03-12 09:47:58
24,티엠씨,0.85,2026-03-12 09:47:58
25,현대무벡스,0.80,2026-03-12 09:47:58
26,포스코인터내셔널,0.80,2026-03-12 09:47:58
27,대한광통신,0.79,2026-03-12 09:47:58
28,알테오젠,0.79,2026-03-12 09:47:58
29,POSCO홀딩스,0.78,2026-03-12 09:47:58
30,셀트리온,0.77,2026-03-12 09:47:58
