rank,name,score,ts
1,삼성전자,13.46,2026-06-17 10:34:37
2,SK하이닉스,12.61,2026-06-17 10:34:37
3,한화오션,3.23,2026-06-17 10:34:37
4,현대차,3.00,2026-06-17 10:34:37
5,삼성전기,2.58,2026-06-17 10:34:37
6,LG전자,2.30,2026-06-17 10:34:37
7,대우건설,2.19,2026-06-17 10:34:37
8,SK스퀘어,2.03,2026-06-17 10:34:37
9,두산에너빌리티,2.00,2026-06-17 10:34:37
10,NAVER,1.92,2026-06-17 10:34:37
11,삼성중공업,1.66,2026-06-17 10:34:37
12,LG이노텍,1.65,2026-06-17 10:34:37
13,제주반도체,1.47,2026-06-17 10:34:37
14,삼성E&A,1.47,2026-06-17 10:34:37
15,HPSP,1.42,2026-06-17 10:34:37
16,한국전력,1.41,2026-06-17 10:34:37
17,원익IPS,1.41,2026-06-17 10:34:37
18,주성엔지니어링,1.31,2026-06-17 10:34:37
19,한미반도체,1.05,2026-06-17 10:34:37
20,삼성전자우,1.00,2026-06-17 10:34:37
21,LS ELECTRIC,0.90,2026-06-17 10:34:37
22,대한광통신,0.90,2026-06-17 10:34:37
23,TIGER 미국우주테크,0.89,2026-06-17 10:34:37
24,삼성SDI,0.84,2026-06-17 10:34:37
25,SK이터닉스,0.82,2026-06-17 10:34:37
26,현대건설,0.81,2026-06-17 10:34:37
27,LG씨엔에스,0.80,2026-06-17 10:34:37
28,HLB,0.76,2026-06-17 10:34:37
29,한화에어로스페이스,0.75,2026-06-17 10:34:37
30,후성,0.75,2026-06-17 10:34:37
