rank,name,score,ts
1,삼성전자,10.40,2026-04-18 13:18:27
2,SK하이닉스,5.51,2026-04-18 13:18:27
3,현대차,3.69,2026-04-18 13:18:27
4,대우건설,2.81,2026-04-18 13:18:27
5,삼성SDI,2.57,2026-04-18 13:18:27
6,두산에너빌리티,2.39,2026-04-18 13:18:27
7,대한광통신,2.16,2026-04-18 13:18:27
8,POSCO홀딩스,1.96,2026-04-18 13:18:27
9,삼천당제약,1.88,2026-04-18 13:18:27
10,삼성전기,1.83,2026-04-18 13:18:27
11,에코프로,1.82,2026-04-18 13:18:27
12,NAVER,1.56,2026-04-18 13:18:27
13,알지노믹스,1.38,2026-04-18 13:18:27
14,대한전선,1.29,2026-04-18 13:18:27
15,광전자,1.26,2026-04-18 13:18:27
16,에코프로비엠,1.24,2026-04-18 13:18:27
17,빛과전자,1.24,2026-04-18 13:18:27
18,HLB,1.22,2026-04-18 13:18:27
19,펄어비스,1.22,2026-04-18 13:18:27
20,후성,1.20,2026-04-18 13:18:27
21,한화오션,1.13,2026-04-18 13:18:27
22,삼성E&A,1.09,2026-04-18 13:18:27
23,한화솔루션,1.05,2026-04-18 13:18:27
24,우리기술,1.04,2026-04-18 13:18:27
25,삼성중공업,1.03,2026-04-18 13:18:27
26,우리로,1.02,2026-04-18 13:18:27
27,미래에셋벤처투자,1.00,2026-04-18 13:18:27
28,한미반도체,0.95,2026-04-18 13:18:27
29,LIG디펜스앤에어로스페이스,0.93,2026-04-18 13:18:27
30,미래에셋증권,0.89,2026-04-18 13:18:27
