rank,name,score,ts
1,삼성전자,12.17,2026-05-10 13:44:29
2,SK하이닉스,7.50,2026-05-10 13:44:29
3,현대차,4.59,2026-05-10 13:44:29
4,대한광통신,2.97,2026-05-10 13:44:29
5,대한전선,2.50,2026-05-10 13:44:29
6,두산에너빌리티,2.28,2026-05-10 13:44:29
7,POSCO홀딩스,2.09,2026-05-10 13:44:29
8,NAVER,1.76,2026-05-10 13:44:29
9,에코프로,1.76,2026-05-10 13:44:29
10,삼성중공업,1.61,2026-05-10 13:44:29
11,대우건설,1.53,2026-05-10 13:44:29
12,LS ELECTRIC,1.44,2026-05-10 13:44:29
13,에코프로비엠,1.39,2026-05-10 13:44:29
14,삼성SDI,1.38,2026-05-10 13:44:29
15,미래에셋증권,1.24,2026-05-10 13:44:29
16,현대오토에버,1.21,2026-05-10 13:44:29
17,한미반도체,1.17,2026-05-10 13:44:29
18,삼성전기,1.17,2026-05-10 13:44:29
19,LG전자,1.14,2026-05-10 13:44:29
20,삼성E&A,1.12,2026-05-10 13:44:29
21,SKC,1.09,2026-05-10 13:44:29
22,한화오션,1.08,2026-05-10 13:44:29
23,현대무벡스,1.05,2026-05-10 13:44:29
24,한국항공우주,0.90,2026-05-10 13:44:29
25,SK스퀘어,0.89,2026-05-10 13:44:29
26,대원전선,0.88,2026-05-10 13:44:29
27,삼성전자우,0.88,2026-05-10 13:44:29
28,효성중공업,0.87,2026-05-10 13:44:29
29,펄어비스,0.86,2026-05-10 13:44:29
30,현대모비스,0.85,2026-05-10 13:44:29
