rank,name,score,ts
1,현대차,6.93,2026-01-19 23:24:14
2,삼성전자,5.83,2026-01-19 23:24:14
3,휴림로봇,4.52,2026-01-19 23:24:14
4,SK하이닉스,3.02,2026-01-19 23:24:14
5,두산에너빌리티,2.78,2026-01-19 23:24:14
6,NAVER,2.59,2026-01-19 23:24:14
7,포스코DX,2.33,2026-01-19 23:24:14
8,우리기술,2.29,2026-01-19 23:24:14
9,삼성SDI,2.19,2026-01-19 23:24:14
10,현대무벡스,2.10,2026-01-19 23:24:14
11,뉴로메카,1.91,2026-01-19 23:24:14
12,한화오션,1.85,2026-01-19 23:24:14
13,삼성중공업,1.72,2026-01-19 23:24:14
14,두산로보틱스,1.72,2026-01-19 23:24:14
15,POSCO홀딩스,1.55,2026-01-19 23:24:14
16,알테오젠,1.45,2026-01-19 23:24:14
17,LG전자,1.44,2026-01-19 23:24:14
18,에코프로,1.37,2026-01-19 23:24:14
19,에스피지,1.37,2026-01-19 23:24:14
20,고영,1.34,2026-01-19 23:24:14
21,유진로봇,1.31,2026-01-19 23:24:14
22,클로봇,1.28,2026-01-19 23:24:14
23,LG씨엔에스,1.27,2026-01-19 23:24:14
24,이수스페셜티케미컬,1.25,2026-01-19 23:24:14
25,기아,1.21,2026-01-19 23:24:14
26,한화시스템,1.12,2026-01-19 23:24:14
27,카카오,0.98,2026-01-19 23:24:14
28,한미반도체,0.95,2026-01-19 23:24:14
29,KODEX 200선물인버스2X,0.95,2026-01-19 23:24:14
30,SK텔레콤,0.95,2026-01-19 23:24:14
