rank,name,score,ts
1,삼성전자,21.40,2026-08-18 16:12:13
2,SK하이닉스,18.39,2026-08-18 16:12:13
3,삼성전기,5.14,2026-08-18 16:12:13
4,현대차,3.00,2026-08-18 16:12:13
5,LG전자,2.35,2026-08-18 16:12:13
6,두산에너빌리티,2.19,2026-08-18 16:12:13
7,NAVER,1.81,2026-08-18 16:12:13
8,SK스퀘어,1.74,2026-08-18 16:12:13
9,삼성SDI,1.47,2026-08-18 16:12:13
10,삼성전자우,1.45,2026-08-18 16:12:13
11,인제니아테라퓨틱스(Reg.S),1.21,2026-08-18 16:12:13
12,한화오션,1.18,2026-08-18 16:12:13
13,알테오젠,1.12,2026-08-18 16:12:13
14,한미반도체,1.00,2026-08-18 16:12:13
15,에코프로,0.88,2026-08-18 16:12:13
16,주성엔지니어링,0.87,2026-08-18 16:12:13
17,제주반도체,0.81,2026-08-18 16:12:13
18,삼성중공업,0.79,2026-08-18 16:12:13
19,LG이노텍,0.77,2026-08-18 16:12:13
20,HMM,0.76,2026-08-18 16:12:13
21,HLB,0.76,2026-08-18 16:12:13
22,더본코리아,0.72,2026-08-18 16:12:13
23,코오롱티슈진,0.72,2026-08-18 16:12:13
24,LS ELECTRIC,0.71,2026-08-18 16:12:13
25,카카오,0.71,2026-08-18 16:12:13
26,LG씨엔에스,0.68,2026-08-18 16:12:13
27,실리콘투,0.65,2026-08-18 16:12:13
28,대한광통신,0.65,2026-08-18 16:12:13
29,셀트리온,0.64,2026-08-18 16:12:13
30,POSCO홀딩스,0.63,2026-08-18 16:12:13
