rank,name,score,ts
1,삼성전자,8.83,2026-01-10 09:47:16
2,SK하이닉스,5.62,2026-01-10 09:47:16
3,현대차,4.74,2026-01-10 09:47:16
4,한화시스템,4.38,2026-01-10 09:47:16
5,한화오션,3.42,2026-01-10 09:47:16
6,두산에너빌리티,3.28,2026-01-10 09:47:16
7,한미반도체,3.00,2026-01-10 09:47:16
8,삼성중공업,2.88,2026-01-10 09:47:16
9,계양전기,2.33,2026-01-10 09:47:16
10,셀트리온,1.76,2026-01-10 09:47:16
11,현대오토에버,1.76,2026-01-10 09:47:16
12,알테오젠,1.61,2026-01-10 09:47:16
13,NAVER,1.52,2026-01-10 09:47:16
14,한화에어로스페이스,1.50,2026-01-10 09:47:16
15,에코프로,1.39,2026-01-10 09:47:16
16,한국항공우주,1.28,2026-01-10 09:47:16
17,현대로템,1.27,2026-01-10 09:47:16
18,디앤디파마텍,1.26,2026-01-10 09:47:16
19,HLB,1.23,2026-01-10 09:47:16
20,에이비엘바이오,1.21,2026-01-10 09:47:16
21,현대무벡스,1.09,2026-01-10 09:47:16
22,제주반도체,1.07,2026-01-10 09:47:16
23,휴림로봇,1.06,2026-01-10 09:47:16
24,KODEX 200선물인버스2X,1.03,2026-01-10 09:47:16
25,LG전자,0.93,2026-01-10 09:47:16
26,고영,0.92,2026-01-10 09:47:16
27,삼성SDI,0.91,2026-01-10 09:47:16
28,대한광통신,0.90,2026-01-10 09:47:16
29,알지노믹스,0.86,2026-01-10 09:47:16
30,원익홀딩스,0.84,2026-01-10 09:47:16
