rank,name,score,ts
1,삼성전자,13.08,2026-03-15 15:46:06
2,SK하이닉스,5.01,2026-03-15 15:46:06
3,두산에너빌리티,3.86,2026-03-15 15:46:06
4,현대차,3.29,2026-03-15 15:46:06
5,우리기술,3.26,2026-03-15 15:46:06
6,한화시스템,2.63,2026-03-15 15:46:06
7,LIG넥스원,2.18,2026-03-15 15:46:06
8,에코프로,2.12,2026-03-15 15:46:06
9,삼성중공업,1.87,2026-03-15 15:46:06
10,펄어비스,1.87,2026-03-15 15:46:06
11,대우건설,1.69,2026-03-15 15:46:06
12,한화오션,1.67,2026-03-15 15:46:06
13,흥구석유,1.65,2026-03-15 15:46:06
14,한화솔루션,1.55,2026-03-15 15:46:06
15,미래에셋증권,1.33,2026-03-15 15:46:06
16,SK이터닉스,1.33,2026-03-15 15:46:06
17,한미반도체,1.29,2026-03-15 15:46:06
18,S-Oil,1.28,2026-03-15 15:46:06
19,대한광통신,1.24,2026-03-15 15:46:06
20,NAVER,1.23,2026-03-15 15:46:06
21,삼성SDI,1.22,2026-03-15 15:46:06
22,한화에어로스페이스,1.16,2026-03-15 15:46:06
23,에코프로비엠,1.15,2026-03-15 15:46:06
24,네이처셀,1.14,2026-03-15 15:46:06
25,LS머트리얼즈,1.04,2026-03-15 15:46:06
26,현대건설,1.00,2026-03-15 15:46:06
27,현대ADM,0.98,2026-03-15 15:46:06
28,현대바이오,0.96,2026-03-15 15:46:06
29,POSCO홀딩스,0.93,2026-03-15 15:46:06
30,현대로템,0.86,2026-03-15 15:46:06
