rank,name,score,ts
1,삼성전자,19.31,2026-08-04 12:45:24
2,SK하이닉스,16.69,2026-08-04 12:45:24
3,NAVER,4.14,2026-08-04 12:45:24
4,SK이터닉스,2.89,2026-08-04 12:45:24
5,삼성전기,2.83,2026-08-04 12:45:24
6,현대차,2.24,2026-08-04 12:45:24
7,두산에너빌리티,2.16,2026-08-04 12:45:24
8,LG전자,1.53,2026-08-04 12:45:24
9,SK텔레콤,1.34,2026-08-04 12:45:24
10,알테오젠,1.30,2026-08-04 12:45:24
11,SK스퀘어,1.28,2026-08-04 12:45:24
12,한화오션,1.18,2026-08-04 12:45:24
13,대우건설,1.14,2026-08-04 12:45:24
14,HLB,1.14,2026-08-04 12:45:24
15,삼성전자우,1.08,2026-08-04 12:45:24
16,에코프로,1.07,2026-08-04 12:45:24
17,한화에어로스페이스,1.03,2026-08-04 12:45:24
18,펩트론,0.98,2026-08-04 12:45:24
19,한미반도체,0.91,2026-08-04 12:45:24
20,코오롱티슈진,0.90,2026-08-04 12:45:24
21,삼성SDI,0.90,2026-08-04 12:45:24
22,대한광통신,0.87,2026-08-04 12:45:24
23,주성엔지니어링,0.85,2026-08-04 12:45:24
24,LS ELECTRIC,0.78,2026-08-04 12:45:24
25,삼성중공업,0.72,2026-08-04 12:45:24
26,삼천당제약,0.69,2026-08-04 12:45:24
27,제주반도체,0.68,2026-08-04 12:45:24
28,LG씨엔에스,0.67,2026-08-04 12:45:24
29,로보티즈,0.66,2026-08-04 12:45:24
30,한국항공우주,0.66,2026-08-04 12:45:24
