rank,name,score,ts
1,삼성전자,17.94,2026-06-06 10:21:36
2,SK하이닉스,13.45,2026-06-06 10:21:36
3,LG전자,5.14,2026-06-06 10:21:36
4,NAVER,4.93,2026-06-06 10:21:36
5,현대차,3.66,2026-06-06 10:21:36
6,삼성전기,3.15,2026-06-06 10:21:36
7,두산로보틱스,2.45,2026-06-06 10:21:36
8,LG씨엔에스,2.00,2026-06-06 10:21:36
9,두산에너빌리티,1.63,2026-06-06 10:21:36
10,LG이노텍,1.39,2026-06-06 10:21:36
11,로보스타,1.23,2026-06-06 10:21:36
12,에코프로,1.12,2026-06-06 10:21:36
13,삼성SDI,1.12,2026-06-06 10:21:36
14,주성엔지니어링,0.97,2026-06-06 10:21:36
15,KODEX 200선물인버스2X,0.95,2026-06-06 10:21:36
16,KODEX SK하이닉스단일종목레버리지,0.95,2026-06-06 10:21:36
17,대한광통신,0.94,2026-06-06 10:21:36
18,삼성중공업,0.90,2026-06-06 10:21:36
19,에코프로비엠,0.88,2026-06-06 10:21:36
20,한미반도체,0.87,2026-06-06 10:21:36
21,SK텔레콤,0.87,2026-06-06 10:21:36
22,삼성에스디에스,0.84,2026-06-06 10:21:36
23,한화오션,0.84,2026-06-06 10:21:36
24,현대모비스,0.80,2026-06-06 10:21:36
25,POSCO홀딩스,0.77,2026-06-06 10:21:36
26,네이처셀,0.75,2026-06-06 10:21:36
27,삼성전자우,0.68,2026-06-06 10:21:36
28,대한전선,0.67,2026-06-06 10:21:36
29,미래에셋증권,0.66,2026-06-06 10:21:36
30,카카오,0.63,2026-06-06 10:21:36
