rank,name,score,ts
1,삼성전자,9.81,2025-12-29 15:43:50
2,SK하이닉스,6.64,2025-12-29 15:43:50
3,휴림로봇,5.95,2025-12-29 15:43:50
4,세미파이브,3.17,2025-12-29 15:43:50
5,두산에너빌리티,2.72,2025-12-29 15:43:50
6,NAVER,2.67,2025-12-29 15:43:50
7,카카오,2.54,2025-12-29 15:43:50
8,원익홀딩스,2.40,2025-12-29 15:43:50
9,노타,2.33,2025-12-29 15:43:50
10,한화오션,2.27,2025-12-29 15:43:50
11,한화에어로스페이스,1.88,2025-12-29 15:43:50
12,삼성에피스홀딩스,1.76,2025-12-29 15:43:50
13,HLB,1.56,2025-12-29 15:43:50
14,한라캐스트,1.54,2025-12-29 15:43:50
15,현대무벡스,1.48,2025-12-29 15:43:50
16,현대차,1.44,2025-12-29 15:43:50
17,에코프로,1.40,2025-12-29 15:43:50
18,알테오젠,1.27,2025-12-29 15:43:50
19,한국전력,1.27,2025-12-29 15:43:50
20,한미반도체,1.18,2025-12-29 15:43:50
21,대한전선,1.07,2025-12-29 15:43:50
22,에이비엘바이오,1.02,2025-12-29 15:43:50
23,재영솔루텍,1.00,2025-12-29 15:43:50
24,삼성중공업,0.98,2025-12-29 15:43:50
25,펩트론,0.93,2025-12-29 15:43:50
26,삼성전자우,0.92,2025-12-29 15:43:50
27,LG에너지솔루션,0.89,2025-12-29 15:43:50
28,한국항공우주,0.87,2025-12-29 15:43:50
29,에스피지,0.85,2025-12-29 15:43:50
30,삼성SDI,0.84,2025-12-29 15:43:50
