rank,name,score,ts
1,삼성전자,11.29,2026-05-15 10:16:54
2,SK하이닉스,7.88,2026-05-15 10:16:54
3,LG전자,7.34,2026-05-15 10:16:54
4,현대차,6.42,2026-05-15 10:16:54
5,삼성전기,2.74,2026-05-15 10:16:54
6,두산로보틱스,2.26,2026-05-15 10:16:54
7,LG씨엔에스,2.23,2026-05-15 10:16:54
8,두산에너빌리티,2.09,2026-05-15 10:16:54
9,코스모로보틱스,2.08,2026-05-15 10:16:54
10,LG,1.92,2026-05-15 10:16:54
11,대우건설,1.77,2026-05-15 10:16:54
12,대한광통신,1.47,2026-05-15 10:16:54
13,삼성SDI,1.46,2026-05-15 10:16:54
14,LG디스플레이,1.42,2026-05-15 10:16:54
15,휴림로봇,1.37,2026-05-15 10:16:54
16,제주반도체,1.32,2026-05-15 10:16:54
17,LS ELECTRIC,1.21,2026-05-15 10:16:54
18,NAVER,1.20,2026-05-15 10:16:54
19,POSCO홀딩스,1.14,2026-05-15 10:16:54
20,대한전선,1.12,2026-05-15 10:16:54
21,알테오젠,1.05,2026-05-15 10:16:54
22,한화솔루션,1.03,2026-05-15 10:16:54
23,삼성중공업,0.97,2026-05-15 10:16:54
24,삼성전자우,0.96,2026-05-15 10:16:54
25,신성이엔지,0.95,2026-05-15 10:16:54
26,폴레드,0.93,2026-05-15 10:16:54
27,미래에셋증권,0.89,2026-05-15 10:16:54
28,현대무벡스,0.87,2026-05-15 10:16:54
29,레인보우로보틱스,0.87,2026-05-15 10:16:54
30,현대모비스,0.85,2026-05-15 10:16:54
