rank,name,score,ts
1,삼성전자,13.50,2026-03-02 13:14:54
2,흥구석유,5.59,2026-03-02 13:14:54
3,현대차,5.44,2026-03-02 13:14:54
4,SK하이닉스,4.69,2026-03-02 13:14:54
5,한미반도체,2.72,2026-03-02 13:14:54
6,두산에너빌리티,2.67,2026-03-02 13:14:54
7,한화시스템,2.30,2026-03-02 13:14:54
8,에코프로,2.03,2026-03-02 13:14:54
9,삼성SDI,1.95,2026-03-02 13:14:54
10,HMM,1.87,2026-03-02 13:14:54
11,한화오션,1.72,2026-03-02 13:14:54
12,현대로템,1.71,2026-03-02 13:14:54
13,한화솔루션,1.50,2026-03-02 13:14:54
14,POSCO홀딩스,1.44,2026-03-02 13:14:54
15,한화에어로스페이스,1.37,2026-03-02 13:14:54
16,NAVER,1.25,2026-03-02 13:14:54
17,SK이노베이션,1.16,2026-03-02 13:14:54
18,현대제철,1.13,2026-03-02 13:14:54
19,S-Oil,1.09,2026-03-02 13:14:54
20,미래에셋증권,1.06,2026-03-02 13:14:54
21,삼천당제약,1.06,2026-03-02 13:14:54
22,우리기술,1.04,2026-03-02 13:14:54
23,한국전력,1.04,2026-03-02 13:14:54
24,카카오,1.03,2026-03-02 13:14:54
25,LIG넥스원,1.03,2026-03-02 13:14:54
26,한국항공우주,1.02,2026-03-02 13:14:54
27,현대ADM,1.02,2026-03-02 13:14:54
28,에코프로비엠,1.00,2026-03-02 13:14:54
29,LG전자,0.95,2026-03-02 13:14:54
30,삼성중공업,0.89,2026-03-02 13:14:54
