rank,name,score,ts
1,삼성전자,15.54,2026-06-15 17:33:05
2,SK하이닉스,10.69,2026-06-15 17:33:05
3,삼성전기,5.82,2026-06-15 17:33:05
4,LG전자,3.29,2026-06-15 17:33:05
5,현대차,3.04,2026-06-15 17:33:05
6,NAVER,2.76,2026-06-15 17:33:05
7,두산에너빌리티,2.48,2026-06-15 17:33:05
8,후성,2.41,2026-06-15 17:33:05
9,LG이노텍,2.36,2026-06-15 17:33:05
10,한미반도체,1.74,2026-06-15 17:33:05
11,LS ELECTRIC,1.57,2026-06-15 17:33:05
12,한화오션,1.52,2026-06-15 17:33:05
13,HPSP,1.35,2026-06-15 17:33:05
14,미래에셋증권,1.29,2026-06-15 17:33:05
15,HL만도,1.21,2026-06-15 17:33:05
16,에코프로,1.17,2026-06-15 17:33:05
17,삼성SDI,1.15,2026-06-15 17:33:05
18,삼성중공업,1.14,2026-06-15 17:33:05
19,LG씨엔에스,1.08,2026-06-15 17:33:05
20,대한항공,1.08,2026-06-15 17:33:05
21,현대건설,0.99,2026-06-15 17:33:05
22,삼성E&A,0.91,2026-06-15 17:33:05
23,에코프로비엠,0.91,2026-06-15 17:33:05
24,리노공업,0.91,2026-06-15 17:33:05
25,POSCO홀딩스,0.91,2026-06-15 17:33:05
26,한국전력,0.78,2026-06-15 17:33:05
27,두산로보틱스,0.74,2026-06-15 17:33:05
28,삼성물산,0.73,2026-06-15 17:33:05
29,대우건설,0.72,2026-06-15 17:33:05
30,스피어,0.72,2026-06-15 17:33:05
