rank,name,score,ts
1,삼성전자,16.84,2026-05-04 16:31:09
2,SK하이닉스,14.16,2026-05-04 16:31:09
3,현대차,2.85,2026-05-04 16:31:09
4,SK스퀘어,2.56,2026-05-04 16:31:09
5,대우건설,2.39,2026-05-04 16:31:09
6,POSCO홀딩스,2.19,2026-05-04 16:31:09
7,삼성전기,2.16,2026-05-04 16:31:09
8,두산에너빌리티,2.01,2026-05-04 16:31:09
9,대한광통신,1.93,2026-05-04 16:31:09
10,삼성전자우,1.92,2026-05-04 16:31:09
11,삼성SDI,1.73,2026-05-04 16:31:09
12,대한전선,1.61,2026-05-04 16:31:09
13,NAVER,1.27,2026-05-04 16:31:09
14,한미반도체,1.24,2026-05-04 16:31:09
15,LIG디펜스앤에어로스페이스,1.21,2026-05-04 16:31:09
16,산일전기,1.20,2026-05-04 16:31:09
17,삼성중공업,1.19,2026-05-04 16:31:09
18,LS ELECTRIC,1.17,2026-05-04 16:31:09
19,대원전선,1.11,2026-05-04 16:31:09
20,에코프로,1.02,2026-05-04 16:31:09
21,미래에셋증권,1.02,2026-05-04 16:31:09
22,삼성증권,0.94,2026-05-04 16:31:09
23,효성중공업,0.83,2026-05-04 16:31:09
24,한화오션,0.81,2026-05-04 16:31:09
25,LG전자,0.79,2026-05-04 16:31:09
26,셀트리온,0.78,2026-05-04 16:31:09
27,에코프로비엠,0.74,2026-05-04 16:31:09
28,일진전기,0.73,2026-05-04 16:31:09
29,한온시스템,0.73,2026-05-04 16:31:09
30,LG에너지솔루션,0.69,2026-05-04 16:31:09
