rank,name,score,ts
1,삼성전자,28.49,2026-08-24 13:11:45
2,SK하이닉스,15.85,2026-08-24 13:11:45
3,한미약품,6.27,2026-08-24 13:11:45
4,삼성전기,2.29,2026-08-24 13:11:45
5,삼성전자우,2.16,2026-08-24 13:11:45
6,삼성SDI,2.15,2026-08-24 13:11:45
7,NAVER,2.01,2026-08-24 13:11:45
8,현대차,1.50,2026-08-24 13:11:45
9,LG전자,1.38,2026-08-24 13:11:45
10,두산에너빌리티,1.37,2026-08-24 13:11:45
11,SK스퀘어,1.10,2026-08-24 13:11:45
12,카카오,1.00,2026-08-24 13:11:45
13,POSCO홀딩스,0.86,2026-08-24 13:11:45
14,알테오젠,0.84,2026-08-24 13:11:45
15,엘앤에프,0.83,2026-08-24 13:11:45
16,에코프로,0.82,2026-08-24 13:11:45
17,신풍제약,0.82,2026-08-24 13:11:45
18,한미사이언스,0.79,2026-08-24 13:11:45
19,한화오션,0.78,2026-08-24 13:11:45
20,에코프로비엠,0.71,2026-08-24 13:11:45
21,코오롱티슈진,0.70,2026-08-24 13:11:45
22,대한광통신,0.66,2026-08-24 13:11:45
23,니어스랩,0.65,2026-08-24 13:11:45
24,LG에너지솔루션,0.62,2026-08-24 13:11:45
25,한미반도체,0.62,2026-08-24 13:11:45
26,삼성생명,0.60,2026-08-24 13:11:45
27,SK텔레콤,0.59,2026-08-24 13:11:45
28,셀트리온,0.58,2026-08-24 13:11:45
29,삼성중공업,0.57,2026-08-24 13:11:45
30,금호건설,0.57,2026-08-24 13:11:45
