rank,name,score,ts
1,삼성전자,16.90,2026-03-13 18:44:31
2,SK하이닉스,6.78,2026-03-13 18:44:31
3,두산에너빌리티,4.05,2026-03-13 18:44:31
4,우리기술,3.11,2026-03-13 18:44:31
5,현대차,3.10,2026-03-13 18:44:31
6,한화시스템,2.15,2026-03-13 18:44:31
7,삼성중공업,2.09,2026-03-13 18:44:31
8,SK이터닉스,2.00,2026-03-13 18:44:31
9,대우건설,1.83,2026-03-13 18:44:31
10,에코프로,1.74,2026-03-13 18:44:31
11,한화솔루션,1.70,2026-03-13 18:44:31
12,한화오션,1.70,2026-03-13 18:44:31
13,삼성SDI,1.36,2026-03-13 18:44:31
14,한미반도체,1.34,2026-03-13 18:44:31
15,LIG넥스원,1.31,2026-03-13 18:44:31
16,미래에셋증권,1.29,2026-03-13 18:44:31
17,포스코퓨처엠,1.25,2026-03-13 18:44:31
18,NAVER,1.25,2026-03-13 18:44:31
19,현대건설,1.23,2026-03-13 18:44:31
20,S-Oil,1.18,2026-03-13 18:44:31
21,한화에어로스페이스,1.17,2026-03-13 18:44:31
22,한국전력,1.16,2026-03-13 18:44:31
23,펄어비스,1.13,2026-03-13 18:44:31
24,LS머트리얼즈,1.06,2026-03-13 18:44:31
25,삼성전자우,0.98,2026-03-13 18:44:31
26,POSCO홀딩스,0.89,2026-03-13 18:44:31
27,카카오,0.84,2026-03-13 18:44:31
28,대한광통신,0.84,2026-03-13 18:44:31
29,디앤디파마텍,0.84,2026-03-13 18:44:31
30,셀트리온,0.82,2026-03-13 18:44:31
