rank,name,score,ts
1,삼성전자,12.55,2026-04-04 13:15:16
2,삼천당제약,4.87,2026-04-04 13:15:16
3,SK하이닉스,4.67,2026-04-04 13:15:16
4,대한광통신,3.25,2026-04-04 13:15:16
5,펄어비스,2.97,2026-04-04 13:15:16
6,현대차,2.45,2026-04-04 13:15:16
7,SK이터닉스,2.43,2026-04-04 13:15:16
8,한화솔루션,2.22,2026-04-04 13:15:16
9,두산에너빌리티,2.02,2026-04-04 13:15:16
10,LIG넥스원,1.88,2026-04-04 13:15:16
11,HD현대에너지솔루션,1.78,2026-04-04 13:15:16
12,풍산,1.72,2026-04-04 13:15:16
13,에코프로,1.55,2026-04-04 13:15:16
14,대우건설,1.55,2026-04-04 13:15:16
15,흥아해운,1.44,2026-04-04 13:15:16
16,삼성E&A,1.33,2026-04-04 13:15:16
17,NAVER,1.30,2026-04-04 13:15:16
18,삼성SDI,1.28,2026-04-04 13:15:16
19,한화시스템,1.26,2026-04-04 13:15:16
20,신성이엔지,1.18,2026-04-04 13:15:16
21,한화오션,1.16,2026-04-04 13:15:16
22,알테오젠,1.16,2026-04-04 13:15:16
23,삼성중공업,1.12,2026-04-04 13:15:16
24,우리기술,1.12,2026-04-04 13:15:16
25,한화에어로스페이스,1.06,2026-04-04 13:15:16
26,후성,1.00,2026-04-04 13:15:16
27,에코프로비엠,0.96,2026-04-04 13:15:16
28,SK오션플랜트,0.95,2026-04-04 13:15:16
29,클로봇,0.92,2026-04-04 13:15:16
30,POSCO홀딩스,0.92,2026-04-04 13:15:16
